"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;71;0;0;2;15/03/2021
Hovedstaden;0-9;7579;1;1;103;15/03/2021
Midtjylland;0-9;2704;0;0;20;15/03/2021
Nordjylland;0-9;881;0;0;6;15/03/2021
Sjælland;0-9;1799;0;0;17;15/03/2021
Syddanmark;0-9;2292;0;2;21;15/03/2021
;10-19;83;0;0;0;15/03/2021
Hovedstaden;10-19;14987;0;0;85;15/03/2021
Midtjylland;10-19;6322;0;0;24;15/03/2021
Nordjylland;10-19;2279;0;0;8;15/03/2021
Sjælland;10-19;5024;0;0;36;15/03/2021
Syddanmark;10-19;5201;0;0;16;15/03/2021
;20-29;498;0;0;10;15/03/2021
Hovedstaden;20-29;21276;0;4;270;15/03/2021
Midtjylland;20-29;7692;0;1;73;15/03/2021
Nordjylland;20-29;2790;0;0;34;15/03/2021
Sjælland;20-29;3954;0;0;72;15/03/2021
Syddanmark;20-29;5182;0;4;68;15/03/2021
;30-39;541;0;0;20;15/03/2021
Hovedstaden;30-39;15492;4;4;443;15/03/2021
Midtjylland;30-39;4923;0;3;110;15/03/2021
Nordjylland;30-39;1810;0;2;38;15/03/2021
Sjælland;30-39;3762;2;3;107;15/03/2021
Syddanmark;30-39;3859;0;1;86;15/03/2021
;40-49;484;0;1;26;15/03/2021
Hovedstaden;40-49;14942;4;12;577;15/03/2021
Midtjylland;40-49;5422;1;1;173;15/03/2021
Nordjylland;40-49;1979;0;1;62;15/03/2021
Sjælland;40-49;5021;1;5;210;15/03/2021
Syddanmark;40-49;4521;1;6;139;15/03/2021
;50-59;312;1;1;37;15/03/2021
Hovedstaden;50-59;13896;28;11;885;15/03/2021
Midtjylland;50-59;5546;9;3;329;15/03/2021
Nordjylland;50-59;2282;3;2;102;15/03/2021
Sjælland;50-59;5160;8;4;313;15/03/2021
Syddanmark;50-59;4557;4;13;229;15/03/2021
;60-69;114;0;1;22;15/03/2021
Hovedstaden;60-69;7345;107;15;939;15/03/2021
Midtjylland;60-69;3122;28;1;310;15/03/2021
Nordjylland;60-69;1478;10;3;134;15/03/2021
Sjælland;60-69;2887;34;10;373;15/03/2021
Syddanmark;60-69;2566;16;10;263;15/03/2021
;70-79;28;0;0;10;15/03/2021
Hovedstaden;70-79;4646;320;28;1410;15/03/2021
Midtjylland;70-79;1810;86;2;430;15/03/2021
Nordjylland;70-79;937;60;3;215;15/03/2021
Sjælland;70-79;1877;103;18;532;15/03/2021
Syddanmark;70-79;1580;55;10;336;15/03/2021
;80-89;10;1;0;5;15/03/2021
Hovedstaden;80-89;2763;512;10;1255;15/03/2021
Midtjylland;80-89;886;149;0;305;15/03/2021
Nordjylland;80-89;438;62;2;173;15/03/2021
Sjælland;80-89;952;152;6;448;15/03/2021
Syddanmark;80-89;704;88;4;263;15/03/2021
;90+;5;0;0;0;15/03/2021
Hovedstaden;90+;984;301;2;383;15/03/2021
Midtjylland;90+;258;68;0;77;15/03/2021
Nordjylland;90+;125;43;0;38;15/03/2021
Sjælland;90+;269;87;1;130;15/03/2021
Syddanmark;90+;164;44;0;59;15/03/2021
