"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;103910;5652;1789;97,3;1510829;82180;272614;14829;0,66
Midtjylland;38685;2923;909;68,7;997793;75403;197598;14932;0,46
Nordjylland;14999;2547;322;54,7;480423;81570;94820;16099;0,34
Sjælland;30705;3676;654;78,3;616105;73763;128895;15432;0,51
Syddanmark;30626;2509;1079;88,4;911424;74655;207745;17016;0,52
