"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;71;0
Hovedstaden;0-9;7579;1
Midtjylland;0-9;2704;0
Nordjylland;0-9;881;0
Sjælland;0-9;1799;0
Syddanmark;0-9;2292;0
;10-19;83;0
Hovedstaden;10-19;14987;0
Midtjylland;10-19;6322;0
Nordjylland;10-19;2279;0
Sjælland;10-19;5024;0
Syddanmark;10-19;5201;0
;20-29;498;0
Hovedstaden;20-29;21276;0
Midtjylland;20-29;7692;0
Nordjylland;20-29;2790;0
Sjælland;20-29;3954;0
Syddanmark;20-29;5182;0
;30-39;541;0
Hovedstaden;30-39;15492;4
Midtjylland;30-39;4923;0
Nordjylland;30-39;1810;0
Sjælland;30-39;3762;2
Syddanmark;30-39;3859;0
;40-49;484;0
Hovedstaden;40-49;14942;4
Midtjylland;40-49;5422;1
Nordjylland;40-49;1979;0
Sjælland;40-49;5021;1
Syddanmark;40-49;4521;1
;50-59;312;1
Hovedstaden;50-59;13896;28
Midtjylland;50-59;5546;9
Nordjylland;50-59;2282;3
Sjælland;50-59;5160;8
Syddanmark;50-59;4557;4
;60-69;114;0
Hovedstaden;60-69;7345;107
Midtjylland;60-69;3122;28
Nordjylland;60-69;1478;10
Sjælland;60-69;2887;34
Syddanmark;60-69;2566;16
;70-79;28;0
Hovedstaden;70-79;4646;320
Midtjylland;70-79;1810;86
Nordjylland;70-79;937;60
Sjælland;70-79;1877;103
Syddanmark;70-79;1580;55
;80-89;10;1
Hovedstaden;80-89;2763;512
Midtjylland;80-89;886;149
Nordjylland;80-89;438;62
Sjælland;80-89;952;152
Syddanmark;80-89;704;88
;90+;5;0
Hovedstaden;90+;984;301
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;269;87
Syddanmark;90+;164;44
