"Region";"Alders gruppe";"Indlæggelser"
;0-9;2
Hovedstaden;0-9;103
Midtjylland;0-9;20
Nordjylland;0-9;6
Sjælland;0-9;17
Syddanmark;0-9;21
;10-19;0
Hovedstaden;10-19;85
Midtjylland;10-19;24
Nordjylland;10-19;8
Sjælland;10-19;36
Syddanmark;10-19;16
;20-29;10
Hovedstaden;20-29;270
Midtjylland;20-29;73
Nordjylland;20-29;34
Sjælland;20-29;72
Syddanmark;20-29;68
;30-39;20
Hovedstaden;30-39;443
Midtjylland;30-39;110
Nordjylland;30-39;38
Sjælland;30-39;107
Syddanmark;30-39;86
;40-49;26
Hovedstaden;40-49;577
Midtjylland;40-49;173
Nordjylland;40-49;62
Sjælland;40-49;210
Syddanmark;40-49;139
;50-59;37
Hovedstaden;50-59;885
Midtjylland;50-59;329
Nordjylland;50-59;102
Sjælland;50-59;313
Syddanmark;50-59;229
;60-69;22
Hovedstaden;60-69;939
Midtjylland;60-69;310
Nordjylland;60-69;134
Sjælland;60-69;373
Syddanmark;60-69;263
;70-79;10
Hovedstaden;70-79;1410
Midtjylland;70-79;430
Nordjylland;70-79;215
Sjælland;70-79;532
Syddanmark;70-79;336
;80-89;5
Hovedstaden;80-89;1255
Midtjylland;80-89;305
Nordjylland;80-89;173
Sjælland;80-89;448
Syddanmark;80-89;263
;90+;0
Hovedstaden;90+;383
Midtjylland;90+;77
Nordjylland;90+;38
Sjælland;90+;130
Syddanmark;90+;59
