"Region";"Alders gruppe";"Indlæggelser"
;0-9;2
Hovedstaden;0-9;104
Midtjylland;0-9;22
Nordjylland;0-9;6
Sjælland;0-9;17
Syddanmark;0-9;21
;10-19;0
Hovedstaden;10-19;87
Midtjylland;10-19;26
Nordjylland;10-19;8
Sjælland;10-19;38
Syddanmark;10-19;16
;20-29;10
Hovedstaden;20-29;277
Midtjylland;20-29;75
Nordjylland;20-29;35
Sjælland;20-29;74
Syddanmark;20-29;72
;30-39;20
Hovedstaden;30-39;453
Midtjylland;30-39;112
Nordjylland;30-39;38
Sjælland;30-39;110
Syddanmark;30-39;92
;40-49;27
Hovedstaden;40-49;593
Midtjylland;40-49;181
Nordjylland;40-49;62
Sjælland;40-49;217
Syddanmark;40-49;149
;50-59;41
Hovedstaden;50-59;913
Midtjylland;50-59;337
Nordjylland;50-59;105
Sjælland;50-59;322
Syddanmark;50-59;250
;60-69;22
Hovedstaden;60-69;959
Midtjylland;60-69;313
Nordjylland;60-69;136
Sjælland;60-69;379
Syddanmark;60-69;273
;70-79;10
Hovedstaden;70-79;1425
Midtjylland;70-79;437
Nordjylland;70-79;216
Sjælland;70-79;548
Syddanmark;70-79;349
;80-89;5
Hovedstaden;80-89;1265
Midtjylland;80-89;306
Nordjylland;80-89;175
Sjælland;80-89;453
Syddanmark;80-89;268
;90+;0
Hovedstaden;90+;385
Midtjylland;90+;77
Nordjylland;90+;38
Sjælland;90+;131
Syddanmark;90+;59
