"uge";"Region Hovedstaden";"Region Nordjylland";"Region Sjælland";"Region Syddanmark";"Region Midtjylland"
2020-W13;2;0;;;
2020-W15;43;1;2;;
2020-W16;5;0;;1;
2020-W17;2577;780;1885;597;217
2020-W18;5574;2638;2009;2173;2582
2020-W19;5388;2537;1510;2795;2995
2020-W20;3722;2166;1355;1958;2068
2020-W21;9342;2608;3808;4147;4956
2020-W22;9333;2612;5033;5105;5494
2020-W23;9575;865;3020;2205;2304
2020-W24;24212;2760;7405;5497;6566
2020-W25;18772;6451;5494;3792;4826
2020-W26;18833;7917;5900;4526;7055
2020-W27;17814;9029;4844;5404;7687
2020-W28;18362;6720;5375;5640;7548
2020-W29;21568;5477;6491;6872;9415
2020-W30;24668;6123;7421;8230;11553
2020-W31;31102;8558;10387;10418;15094
2020-W32;33214;10269;14746;13474;25986
2020-W33;34984;11923;13601;17410;49556
2020-W34;38693;12422;15380;19405;44499
2020-W35;38765;9893;12926;17675;39036
2020-W36;47159;10973;13633;21390;34149
2020-W37;70939;16203;23653;40746;37122
2020-W38;99714;25866;28579;32801;31496
2020-W39;96873;26491;29780;31445;30555
2020-W40;81805;18440;31035;30460;37065
2020-W41;81674;21062;29267;29106;43055
2020-W42;65352;16640;20941;29410;37831
2020-W43;97239;29336;31403;42846;57144
2020-W44;130779;44195;42192;65277;78698
2020-W45;141206;56286;46943;56447;67017
2020-W46;138098;88245;45908;55937;70131
2020-W47;126219;90462;46224;57117;71552
2020-W48;129078;39703;44617;60370;96419
2020-W49;161829;26637;58305;64824;93980
2020-W50;202648;43294;71394;78242;114999
2020-W51;245844;67853;92286;119609;139287
2020-W52;199167;51560;68267;91625;92283
2020-W53;156455;50861;58680;80107;74806
2021-W01;145989;53575;72619;90928;74986
2021-W02;158505;57289;71532;97940;113285
2021-W03;189270;73138;94346;135644;139563
2021-W04;196255;78672;97940;148165;146110
2021-W05;208813;80600;99198;149873;150457
2021-W06;215738;82553;100952;155853;151645
2021-W07;229813;84901;106301;165976;154763
2021-W08;268502;97382;117490;199714;173318
2021-W09;283377;103580;131520;209983;202483
2021-W10;288472;103228;136747;219497;210156
2021-W11;293887;114941;141158;237662;229177
