"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;76;0
Hovedstaden;0-9;7931;1
Midtjylland;0-9;2848;0
Nordjylland;0-9;905;0
Sjælland;0-9;1872;0
Syddanmark;0-9;2518;0
;10-19;84;0
Hovedstaden;10-19;15383;0
Midtjylland;10-19;6377;0
Nordjylland;10-19;2292;0
Sjælland;10-19;5110;0
Syddanmark;10-19;5529;0
;20-29;478;0
Hovedstaden;20-29;21768;0
Midtjylland;20-29;7735;0
Nordjylland;20-29;2830;0
Sjælland;20-29;4034;0
Syddanmark;20-29;5383;0
;30-39;518;0
Hovedstaden;30-39;15884;4
Midtjylland;30-39;4976;0
Nordjylland;30-39;1815;0
Sjælland;30-39;3833;2
Syddanmark;30-39;4056;0
;40-49;458;0
Hovedstaden;40-49;15327;4
Midtjylland;40-49;5454;1
Nordjylland;40-49;2004;0
Sjælland;40-49;5091;1
Syddanmark;40-49;4733;1
;50-59;300;1
Hovedstaden;50-59;14257;28
Midtjylland;50-59;5557;9
Nordjylland;50-59;2285;3
Sjælland;50-59;5230;8
Syddanmark;50-59;4694;4
;60-69;110;0
Hovedstaden;60-69;7483;109
Midtjylland;60-69;3086;28
Nordjylland;60-69;1489;10
Sjælland;60-69;2887;34
Syddanmark;60-69;2633;16
;70-79;25;0
Hovedstaden;70-79;4696;323
Midtjylland;70-79;1798;86
Nordjylland;70-79;942;60
Sjælland;70-79;1874;106
Syddanmark;70-79;1612;55
;80-89;10;1
Hovedstaden;80-89;2778;513
Midtjylland;80-89;879;149
Nordjylland;80-89;435;62
Sjælland;80-89;950;153
Syddanmark;80-89;719;89
;90+;5;0
Hovedstaden;90+;988;304
Midtjylland;90+;259;69
Nordjylland;90+;125;43
Sjælland;90+;272;88
Syddanmark;90+;164;44
