"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;6;0;0;0;25/03/2021
Hovedstaden;0-9;278;0;0;1;25/03/2021
Midtjylland;0-9;82;0;0;0;25/03/2021
Nordjylland;0-9;15;0;0;0;25/03/2021
Sjælland;0-9;53;0;0;0;25/03/2021
Syddanmark;0-9;151;0;0;0;25/03/2021
;10-19;4;0;0;0;25/03/2021
Hovedstaden;10-19;344;0;1;1;25/03/2021
Midtjylland;10-19;113;0;0;2;25/03/2021
Nordjylland;10-19;37;0;0;0;25/03/2021
Sjælland;10-19;93;0;0;0;25/03/2021
Syddanmark;10-19;262;0;0;0;25/03/2021
;20-29;9;0;0;0;25/03/2021
Hovedstaden;20-29;444;0;1;1;25/03/2021
Midtjylland;20-29;110;0;0;1;25/03/2021
Nordjylland;20-29;50;0;0;1;25/03/2021
Sjælland;20-29;87;0;1;1;25/03/2021
Syddanmark;20-29;189;0;2;2;25/03/2021
;30-39;23;0;0;0;25/03/2021
Hovedstaden;30-39;356;0;2;6;25/03/2021
Midtjylland;30-39;105;0;0;1;25/03/2021
Nordjylland;30-39;31;0;0;0;25/03/2021
Sjælland;30-39;74;0;2;2;25/03/2021
Syddanmark;30-39;149;0;0;0;25/03/2021
;40-49;18;0;0;1;25/03/2021
Hovedstaden;40-49;328;0;1;2;25/03/2021
Midtjylland;40-49;83;0;2;3;25/03/2021
Nordjylland;40-49;47;0;0;0;25/03/2021
Sjælland;40-49;93;0;0;1;25/03/2021
Syddanmark;40-49;180;0;3;4;25/03/2021
;50-59;14;0;0;3;25/03/2021
Hovedstaden;50-59;321;0;5;14;25/03/2021
Midtjylland;50-59;92;0;0;0;25/03/2021
Nordjylland;50-59;32;0;1;1;25/03/2021
Sjælland;50-59;85;0;2;2;25/03/2021
Syddanmark;50-59;119;0;5;8;25/03/2021
Hovedstaden;60-69;134;0;6;12;25/03/2021
Midtjylland;60-69;39;0;1;1;25/03/2021
Nordjylland;60-69;27;0;0;0;25/03/2021
Sjælland;60-69;31;0;2;2;25/03/2021
Syddanmark;60-69;66;0;2;2;25/03/2021
Hovedstaden;70-79;64;1;3;3;25/03/2021
Midtjylland;70-79;18;0;3;3;25/03/2021
Nordjylland;70-79;20;0;1;1;25/03/2021
Sjælland;70-79;21;1;5;8;25/03/2021
Syddanmark;70-79;24;0;6;6;25/03/2021
Hovedstaden;80-89;17;1;2;3;25/03/2021
Midtjylland;80-89;3;0;0;0;25/03/2021
Nordjylland;80-89;2;0;0;1;25/03/2021
Sjælland;80-89;4;0;3;3;25/03/2021
Syddanmark;80-89;12;0;2;2;25/03/2021
;90+;1;0;0;0;25/03/2021
Hovedstaden;90+;3;1;0;1;25/03/2021
Midtjylland;90+;1;1;0;0;25/03/2021
Sjælland;90+;3;0;1;1;25/03/2021
