"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;76;0;0;2;25/03/2021
Hovedstaden;0-9;7931;1;0;104;25/03/2021
Midtjylland;0-9;2848;0;0;22;25/03/2021
Nordjylland;0-9;905;0;0;6;25/03/2021
Sjælland;0-9;1872;0;0;17;25/03/2021
Syddanmark;0-9;2518;0;2;21;25/03/2021
;10-19;84;0;0;0;25/03/2021
Hovedstaden;10-19;15383;0;2;87;25/03/2021
Midtjylland;10-19;6377;0;0;26;25/03/2021
Nordjylland;10-19;2292;0;0;8;25/03/2021
Sjælland;10-19;5110;0;0;38;25/03/2021
Syddanmark;10-19;5529;0;0;16;25/03/2021
;20-29;478;0;0;10;25/03/2021
Hovedstaden;20-29;21768;0;6;277;25/03/2021
Midtjylland;20-29;7735;0;0;75;25/03/2021
Nordjylland;20-29;2830;0;0;35;25/03/2021
Sjælland;20-29;4034;0;1;74;25/03/2021
Syddanmark;20-29;5383;0;5;72;25/03/2021
;30-39;518;0;0;20;25/03/2021
Hovedstaden;30-39;15884;4;5;453;25/03/2021
Midtjylland;30-39;4976;0;0;112;25/03/2021
Nordjylland;30-39;1815;0;1;38;25/03/2021
Sjælland;30-39;3833;2;3;110;25/03/2021
Syddanmark;30-39;4056;0;3;92;25/03/2021
;40-49;458;0;0;27;25/03/2021
Hovedstaden;40-49;15327;4;10;593;25/03/2021
Midtjylland;40-49;5454;1;2;181;25/03/2021
Nordjylland;40-49;2004;0;1;62;25/03/2021
Sjælland;40-49;5091;1;3;217;25/03/2021
Syddanmark;40-49;4733;1;6;149;25/03/2021
;50-59;300;1;1;41;25/03/2021
Hovedstaden;50-59;14257;28;17;913;25/03/2021
Midtjylland;50-59;5557;9;5;337;25/03/2021
Nordjylland;50-59;2285;3;4;105;25/03/2021
Sjælland;50-59;5230;8;7;322;25/03/2021
Syddanmark;50-59;4694;4;14;250;25/03/2021
;60-69;110;0;0;22;25/03/2021
Hovedstaden;60-69;7483;109;14;959;25/03/2021
Midtjylland;60-69;3086;28;3;313;25/03/2021
Nordjylland;60-69;1489;10;4;136;25/03/2021
Sjælland;60-69;2887;34;8;379;25/03/2021
Syddanmark;60-69;2633;16;10;273;25/03/2021
;70-79;25;0;0;10;25/03/2021
Hovedstaden;70-79;4696;323;28;1425;25/03/2021
Midtjylland;70-79;1798;86;5;437;25/03/2021
Nordjylland;70-79;942;60;4;216;25/03/2021
Sjælland;70-79;1874;106;10;548;25/03/2021
Syddanmark;70-79;1612;55;13;349;25/03/2021
;80-89;10;1;0;5;25/03/2021
Hovedstaden;80-89;2778;513;4;1265;25/03/2021
Midtjylland;80-89;879;149;0;306;25/03/2021
Nordjylland;80-89;435;62;1;175;25/03/2021
Sjælland;80-89;950;153;5;453;25/03/2021
Syddanmark;80-89;719;89;6;268;25/03/2021
;90+;5;0;0;0;25/03/2021
Hovedstaden;90+;988;304;0;385;25/03/2021
Midtjylland;90+;259;69;0;77;25/03/2021
Nordjylland;90+;125;43;0;38;25/03/2021
Sjælland;90+;272;88;1;131;25/03/2021
Syddanmark;90+;164;44;0;59;25/03/2021
