"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;57;2021-03-17
019;0-9;13;2021-03-17
101;0-9;2669;2021-03-17
147;0-9;386;2021-03-17
151;0-9;238;2021-03-17
153;0-9;252;2021-03-17
155;0-9;73;2021-03-17
157;0-9;211;2021-03-17
159;0-9;371;2021-03-17
161;0-9;108;2021-03-17
163;0-9;178;2021-03-17
165;0-9;190;2021-03-17
167;0-9;295;2021-03-17
169;0-9;346;2021-03-17
173;0-9;183;2021-03-17
175;0-9;217;2021-03-17
183;0-9;224;2021-03-17
185;0-9;242;2021-03-17
187;0-9;120;2021-03-17
190;0-9;131;2021-03-17
201;0-9;55;2021-03-17
210;0-9;140;2021-03-17
217;0-9;219;2021-03-17
219;0-9;161;2021-03-17
223;0-9;46;2021-03-17
230;0-9;138;2021-03-17
240;0-9;204;2021-03-17
250;0-9;85;2021-03-17
253;0-9;207;2021-03-17
259;0-9;185;2021-03-17
260;0-9;29;2021-03-17
265;0-9;267;2021-03-17
269;0-9;82;2021-03-17
270;0-9;89;2021-03-17
306;0-9;28;2021-03-17
316;0-9;145;2021-03-17
320;0-9;52;2021-03-17
326;0-9;75;2021-03-17
329;0-9;74;2021-03-17
330;0-9;209;2021-03-17
336;0-9;37;2021-03-17
340;0-9;47;2021-03-17
350;0-9;84;2021-03-17
360;0-9;33;2021-03-17
370;0-9;153;2021-03-17
376;0-9;85;2021-03-17
390;0-9;49;2021-03-17
400;0-9;27;2021-03-17
410;0-9;56;2021-03-17
420;0-9;35;2021-03-17
430;0-9;51;2021-03-17
440;0-9;50;2021-03-17
450;0-9;59;2021-03-17
461;0-9;561;2021-03-17
479;0-9;49;2021-03-17
480;0-9;36;2021-03-17
482;0-9;5;2021-03-17
492;0-9;3;2021-03-17
510;0-9;61;2021-03-17
530;0-9;28;2021-03-17
540;0-9;121;2021-03-17
550;0-9;36;2021-03-17
561;0-9;214;2021-03-17
563;0-9;1;2021-03-17
573;0-9;71;2021-03-17
575;0-9;64;2021-03-17
580;0-9;95;2021-03-17
607;0-9;96;2021-03-17
615;0-9;158;2021-03-17
621;0-9;355;2021-03-17
630;0-9;298;2021-03-17
657;0-9;137;2021-03-17
661;0-9;101;2021-03-17
665;0-9;23;2021-03-17
671;0-9;40;2021-03-17
706;0-9;42;2021-03-17
707;0-9;58;2021-03-17
710;0-9;87;2021-03-17
727;0-9;45;2021-03-17
730;0-9;201;2021-03-17
740;0-9;220;2021-03-17
741;0-9;2;2021-03-17
746;0-9;146;2021-03-17
751;0-9;1143;2021-03-17
756;0-9;68;2021-03-17
760;0-9;42;2021-03-17
766;0-9;62;2021-03-17
773;0-9;28;2021-03-17
779;0-9;48;2021-03-17
787;0-9;46;2021-03-17
791;0-9;119;2021-03-17
810;0-9;60;2021-03-17
813;0-9;70;2021-03-17
820;0-9;23;2021-03-17
840;0-9;53;2021-03-17
846;0-9;36;2021-03-17
849;0-9;66;2021-03-17
851;0-9;429;2021-03-17
860;0-9;78;2021-03-17
;10-19;64;2021-03-17
011;10-19;3;2021-03-17
019;10-19;17;2021-03-17
101;10-19;4601;2021-03-17
147;10-19;616;2021-03-17
151;10-19;467;2021-03-17
153;10-19;453;2021-03-17
155;10-19;105;2021-03-17
157;10-19;715;2021-03-17
159;10-19;662;2021-03-17
161;10-19;223;2021-03-17
163;10-19;403;2021-03-17
165;10-19;379;2021-03-17
167;10-19;639;2021-03-17
169;10-19;657;2021-03-17
173;10-19;421;2021-03-17
175;10-19;445;2021-03-17
183;10-19;437;2021-03-17
185;10-19;439;2021-03-17
187;10-19;228;2021-03-17
190;10-19;322;2021-03-17
201;10-19;150;2021-03-17
210;10-19;280;2021-03-17
217;10-19;460;2021-03-17
219;10-19;331;2021-03-17
223;10-19;154;2021-03-17
230;10-19;504;2021-03-17
240;10-19;340;2021-03-17
250;10-19;207;2021-03-17
253;10-19;471;2021-03-17
259;10-19;486;2021-03-17
260;10-19;96;2021-03-17
265;10-19;544;2021-03-17
269;10-19;284;2021-03-17
270;10-19;232;2021-03-17
306;10-19;145;2021-03-17
316;10-19;374;2021-03-17
320;10-19;169;2021-03-17
326;10-19;289;2021-03-17
329;10-19;204;2021-03-17
330;10-19;693;2021-03-17
336;10-19;114;2021-03-17
340;10-19;102;2021-03-17
350;10-19;175;2021-03-17
360;10-19;147;2021-03-17
370;10-19;444;2021-03-17
376;10-19;193;2021-03-17
390;10-19;220;2021-03-17
400;10-19;85;2021-03-17
410;10-19;147;2021-03-17
420;10-19;103;2021-03-17
430;10-19;146;2021-03-17
440;10-19;122;2021-03-17
450;10-19;132;2021-03-17
461;10-19;1284;2021-03-17
479;10-19;208;2021-03-17
480;10-19;118;2021-03-17
482;10-19;23;2021-03-17
492;10-19;5;2021-03-17
510;10-19;190;2021-03-17
530;10-19;93;2021-03-17
540;10-19;373;2021-03-17
550;10-19;166;2021-03-17
561;10-19;472;2021-03-17
563;10-19;7;2021-03-17
573;10-19;173;2021-03-17
575;10-19;138;2021-03-17
580;10-19;189;2021-03-17
607;10-19;201;2021-03-17
615;10-19;369;2021-03-17
621;10-19;477;2021-03-17
630;10-19;530;2021-03-17
657;10-19;283;2021-03-17
661;10-19;307;2021-03-17
665;10-19;53;2021-03-17
671;10-19;140;2021-03-17
706;10-19;103;2021-03-17
707;10-19;91;2021-03-17
710;10-19;214;2021-03-17
727;10-19;128;2021-03-17
730;10-19;459;2021-03-17
740;10-19;503;2021-03-17
741;10-19;7;2021-03-17
746;10-19;329;2021-03-17
751;10-19;2390;2021-03-17
756;10-19;178;2021-03-17
760;10-19;146;2021-03-17
766;10-19;202;2021-03-17
773;10-19;58;2021-03-17
779;10-19;140;2021-03-17
787;10-19;151;2021-03-17
791;10-19;325;2021-03-17
810;10-19;141;2021-03-17
813;10-19;212;2021-03-17
820;10-19;104;2021-03-17
825;10-19;1;2021-03-17
840;10-19;123;2021-03-17
846;10-19;135;2021-03-17
849;10-19;148;2021-03-17
851;10-19;1031;2021-03-17
860;10-19;203;2021-03-17
;20-29;398;2021-03-17
011;20-29;98;2021-03-17
019;20-29;10;2021-03-17
101;20-29;12029;2021-03-17
147;20-29;1540;2021-03-17
151;20-29;408;2021-03-17
153;20-29;441;2021-03-17
155;20-29;60;2021-03-17
157;20-29;427;2021-03-17
159;20-29;663;2021-03-17
161;20-29;244;2021-03-17
163;20-29;269;2021-03-17
165;20-29;314;2021-03-17
167;20-29;542;2021-03-17
169;20-29;615;2021-03-17
173;20-29;401;2021-03-17
175;20-29;431;2021-03-17
183;20-29;359;2021-03-17
185;20-29;297;2021-03-17
187;20-29;170;2021-03-17
190;20-29;200;2021-03-17
201;20-29;86;2021-03-17
210;20-29;222;2021-03-17
217;20-29;353;2021-03-17
219;20-29;304;2021-03-17
223;20-29;71;2021-03-17
230;20-29;254;2021-03-17
240;20-29;194;2021-03-17
250;20-29;197;2021-03-17
253;20-29;364;2021-03-17
259;20-29;409;2021-03-17
260;20-29;107;2021-03-17
265;20-29;619;2021-03-17
269;20-29;118;2021-03-17
270;20-29;129;2021-03-17
306;20-29;85;2021-03-17
316;20-29;304;2021-03-17
320;20-29;141;2021-03-17
326;20-29;148;2021-03-17
329;20-29;216;2021-03-17
330;20-29;509;2021-03-17
336;20-29;73;2021-03-17
340;20-29;95;2021-03-17
350;20-29;99;2021-03-17
360;20-29;87;2021-03-17
370;20-29;405;2021-03-17
