"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;101922;5544;1636;89,0;1497410;81450;270691;14724;0,60
Midtjylland;37546;2837;439;33,2;986536;74552;191297;14456;0,23
Nordjylland;14600;2479;158;26,8;477114;81008;94817;16099;0,17
Sjælland;29939;3584;565;67,6;609037;72917;124655;14924;0,45
Syddanmark;29354;2404;874;71,6;899206;73654;199450;16337;0,44
