"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;69;0
Hovedstaden;0-9;7349;1
Midtjylland;0-9;2629;0
Nordjylland;0-9;864;0
Sjælland;0-9;1749;0
Syddanmark;0-9;2164;0
;10-19;75;0
Hovedstaden;10-19;14685;0
Midtjylland;10-19;6147;0
Nordjylland;10-19;2218;0
Sjælland;10-19;4910;0
Syddanmark;10-19;4971;0
;20-29;452;0
Hovedstaden;20-29;20918;0
Midtjylland;20-29;7470;0
Nordjylland;20-29;2708;0
Sjælland;20-29;3855;0
Syddanmark;20-29;4918;0
;30-39;473;0
Hovedstaden;30-39;15188;4
Midtjylland;30-39;4756;0
Nordjylland;30-39;1754;0
Sjælland;30-39;3656;2
Syddanmark;30-39;3681;0
;40-49;417;0
Hovedstaden;40-49;14641;3
Midtjylland;40-49;5264;1
Nordjylland;40-49;1931;0
Sjælland;40-49;4885;1
Syddanmark;40-49;4337;1
;50-59;270;1
Hovedstaden;50-59;13659;28
Midtjylland;50-59;5383;9
Nordjylland;50-59;2224;3
Sjælland;50-59;5049;8
Syddanmark;50-59;4393;4
;60-69;108;0
Hovedstaden;60-69;7210;107
Midtjylland;60-69;3003;28
Nordjylland;60-69;1433;10
Sjælland;60-69;2808;34
Syddanmark;60-69;2477;16
;70-79;25;0
Hovedstaden;70-79;4562;318
Midtjylland;70-79;1764;85
Nordjylland;70-79;912;60
Sjælland;70-79;1822;103
Syddanmark;70-79;1552;53
;80-89;10;1
Hovedstaden;80-89;2727;512
Midtjylland;80-89;872;149
Nordjylland;80-89;431;61
Sjælland;80-89;938;147
Syddanmark;80-89;697;88
;90+;4;0
Hovedstaden;90+;983;301
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;267;87
Syddanmark;90+;164;44
