"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;2;0;0;0;08/03/2021
Hovedstaden;0-9;236;0;1;1;08/03/2021
Midtjylland;0-9;53;0;0;0;08/03/2021
Nordjylland;0-9;10;0;0;0;08/03/2021
Sjælland;0-9;67;0;0;0;08/03/2021
Syddanmark;0-9;121;0;0;0;08/03/2021
;10-19;1;0;0;0;08/03/2021
Hovedstaden;10-19;224;0;0;0;08/03/2021
Midtjylland;10-19;61;0;1;1;08/03/2021
Nordjylland;10-19;25;0;0;1;08/03/2021
Sjælland;10-19;93;0;0;0;08/03/2021
Syddanmark;10-19;153;0;0;2;08/03/2021
;20-29;10;0;1;1;08/03/2021
Hovedstaden;20-29;255;0;1;4;08/03/2021
Midtjylland;20-29;102;0;0;0;08/03/2021
Nordjylland;20-29;35;0;0;0;08/03/2021
Sjælland;20-29;58;0;0;1;08/03/2021
Syddanmark;20-29;165;0;1;2;08/03/2021
;30-39;19;0;1;2;08/03/2021
Hovedstaden;30-39;291;0;1;2;08/03/2021
Midtjylland;30-39;61;0;1;4;08/03/2021
Nordjylland;30-39;30;0;0;0;08/03/2021
Sjælland;30-39;80;0;1;4;08/03/2021
Syddanmark;30-39;115;0;0;1;08/03/2021
;40-49;8;0;1;1;08/03/2021
Hovedstaden;40-49;237;0;5;8;08/03/2021
Midtjylland;40-49;52;0;1;2;08/03/2021
Nordjylland;40-49;17;0;1;1;08/03/2021
Sjælland;40-49;89;0;0;1;08/03/2021
Syddanmark;40-49;122;0;2;3;08/03/2021
;50-59;3;0;1;1;08/03/2021
Hovedstaden;50-59;226;0;2;4;08/03/2021
Midtjylland;50-59;52;0;2;3;08/03/2021
Nordjylland;50-59;18;0;1;1;08/03/2021
Sjælland;50-59;85;0;1;3;08/03/2021
Syddanmark;50-59;101;0;2;2;08/03/2021
;60-69;2;0;0;1;08/03/2021
Hovedstaden;60-69;93;0;2;5;08/03/2021
Midtjylland;60-69;34;0;0;0;08/03/2021
Nordjylland;60-69;13;0;0;0;08/03/2021
Sjælland;60-69;51;0;5;6;08/03/2021
Syddanmark;60-69;56;0;1;2;08/03/2021
Hovedstaden;70-79;47;0;5;11;08/03/2021
Midtjylland;70-79;19;0;1;1;08/03/2021
Nordjylland;70-79;5;0;0;0;08/03/2021
Sjælland;70-79;24;0;5;5;08/03/2021
Syddanmark;70-79;31;0;5;5;08/03/2021
Hovedstaden;80-89;24;1;2;5;08/03/2021
Midtjylland;80-89;5;0;0;0;08/03/2021
Nordjylland;80-89;5;0;0;1;08/03/2021
Sjælland;80-89;15;0;3;3;08/03/2021
Syddanmark;80-89;7;1;3;5;08/03/2021
;90+;1;0;0;0;08/03/2021
Hovedstaden;90+;3;0;0;1;08/03/2021
Sjælland;90+;3;1;1;1;08/03/2021
Syddanmark;90+;3;0;0;0;08/03/2021
