"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;69;0;0;2;08/03/2021
Hovedstaden;0-9;7349;1;1;102;08/03/2021
Midtjylland;0-9;2629;0;0;20;08/03/2021
Nordjylland;0-9;864;0;0;6;08/03/2021
Sjælland;0-9;1749;0;0;17;08/03/2021
Syddanmark;0-9;2164;0;1;20;08/03/2021
;10-19;75;0;0;0;08/03/2021
Hovedstaden;10-19;14685;0;1;82;08/03/2021
Midtjylland;10-19;6147;0;1;24;08/03/2021
Nordjylland;10-19;2218;0;0;8;08/03/2021
Sjælland;10-19;4910;0;2;35;08/03/2021
Syddanmark;10-19;4971;0;1;16;08/03/2021
;20-29;452;0;1;10;08/03/2021
Hovedstaden;20-29;20918;0;5;261;08/03/2021
Midtjylland;20-29;7470;0;0;72;08/03/2021
Nordjylland;20-29;2708;0;0;34;08/03/2021
Sjælland;20-29;3855;0;1;72;08/03/2021
Syddanmark;20-29;4918;0;3;63;08/03/2021
;30-39;473;0;1;20;08/03/2021
Hovedstaden;30-39;15188;4;7;433;08/03/2021
Midtjylland;30-39;4756;0;1;107;08/03/2021
Nordjylland;30-39;1754;0;1;37;08/03/2021
Sjælland;30-39;3656;2;2;105;08/03/2021
Syddanmark;30-39;3681;0;2;85;08/03/2021
;40-49;417;0;1;27;08/03/2021
Hovedstaden;40-49;14641;3;18;561;08/03/2021
Midtjylland;40-49;5264;1;2;172;08/03/2021
Nordjylland;40-49;1931;0;1;62;08/03/2021
Sjælland;40-49;4885;1;5;208;08/03/2021
Syddanmark;40-49;4337;1;7;133;08/03/2021
;50-59;270;1;1;36;08/03/2021
Hovedstaden;50-59;13659;28;14;872;08/03/2021
Midtjylland;50-59;5383;9;4;325;08/03/2021
Nordjylland;50-59;2224;3;3;101;08/03/2021
Sjælland;50-59;5049;8;4;309;08/03/2021
Syddanmark;50-59;4393;4;6;217;08/03/2021
;60-69;108;0;1;22;08/03/2021
Hovedstaden;60-69;7210;107;8;925;08/03/2021
Midtjylland;60-69;3003;28;3;312;08/03/2021
Nordjylland;60-69;1433;10;5;133;08/03/2021
Sjælland;60-69;2808;34;14;363;08/03/2021
Syddanmark;60-69;2477;16;9;257;08/03/2021
;70-79;25;0;0;10;08/03/2021
Hovedstaden;70-79;4562;318;25;1397;08/03/2021
Midtjylland;70-79;1764;85;5;432;08/03/2021
Nordjylland;70-79;912;60;5;215;08/03/2021
Sjælland;70-79;1822;103;13;522;08/03/2021
Syddanmark;70-79;1552;53;13;326;08/03/2021
;80-89;10;1;0;5;08/03/2021
Hovedstaden;80-89;2727;512;9;1246;08/03/2021
Midtjylland;80-89;872;149;1;307;08/03/2021
Nordjylland;80-89;431;61;3;173;08/03/2021
Sjælland;80-89;938;147;11;443;08/03/2021
Syddanmark;80-89;697;88;8;261;08/03/2021
;90+;4;0;0;0;08/03/2021
Hovedstaden;90+;983;301;1;382;08/03/2021
Midtjylland;90+;258;68;0;77;08/03/2021
Nordjylland;90+;125;43;0;38;08/03/2021
Sjælland;90+;267;87;2;129;08/03/2021
Syddanmark;90+;164;44;0;59;08/03/2021
