"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;63;2021-03-26
019;0-9;14;2021-03-26
101;0-9;2788;2021-03-26
147;0-9;400;2021-03-26
151;0-9;255;2021-03-26
153;0-9;275;2021-03-26
155;0-9;74;2021-03-26
157;0-9;212;2021-03-26
159;0-9;393;2021-03-26
161;0-9;112;2021-03-26
163;0-9;185;2021-03-26
165;0-9;192;2021-03-26
167;0-9;301;2021-03-26
169;0-9;383;2021-03-26
173;0-9;188;2021-03-26
175;0-9;226;2021-03-26
183;0-9;239;2021-03-26
185;0-9;245;2021-03-26
187;0-9;128;2021-03-26
190;0-9;147;2021-03-26
201;0-9;57;2021-03-26
210;0-9;153;2021-03-26
217;0-9;226;2021-03-26
219;0-9;167;2021-03-26
223;0-9;52;2021-03-26
230;0-9;140;2021-03-26
240;0-9;207;2021-03-26
250;0-9;86;2021-03-26
253;0-9;211;2021-03-26
259;0-9;189;2021-03-26
260;0-9;32;2021-03-26
265;0-9;271;2021-03-26
269;0-9;83;2021-03-26
270;0-9;95;2021-03-26
306;0-9;30;2021-03-26
316;0-9;156;2021-03-26
320;0-9;55;2021-03-26
326;0-9;75;2021-03-26
329;0-9;78;2021-03-26
330;0-9;221;2021-03-26
336;0-9;37;2021-03-26
340;0-9;47;2021-03-26
350;0-9;97;2021-03-26
360;0-9;33;2021-03-26
370;0-9;156;2021-03-26
376;0-9;89;2021-03-26
390;0-9;50;2021-03-26
400;0-9;27;2021-03-26
410;0-9;57;2021-03-26
420;0-9;36;2021-03-26
430;0-9;64;2021-03-26
440;0-9;61;2021-03-26
450;0-9;63;2021-03-26
461;0-9;599;2021-03-26
479;0-9;52;2021-03-26
480;0-9;37;2021-03-26
482;0-9;5;2021-03-26
492;0-9;3;2021-03-26
510;0-9;69;2021-03-26
530;0-9;39;2021-03-26
540;0-9;122;2021-03-26
550;0-9;37;2021-03-26
561;0-9;239;2021-03-26
563;0-9;1;2021-03-26
573;0-9;72;2021-03-26
575;0-9;66;2021-03-26
580;0-9;103;2021-03-26
607;0-9;106;2021-03-26
615;0-9;174;2021-03-26
621;0-9;379;2021-03-26
630;0-9;325;2021-03-26
657;0-9;150;2021-03-26
661;0-9;102;2021-03-26
665;0-9;24;2021-03-26
671;0-9;40;2021-03-26
706;0-9;42;2021-03-26
707;0-9;59;2021-03-26
710;0-9;91;2021-03-26
727;0-9;45;2021-03-26
730;0-9;229;2021-03-26
740;0-9;222;2021-03-26
741;0-9;2;2021-03-26
746;0-9;166;2021-03-26
751;0-9;1165;2021-03-26
756;0-9;73;2021-03-26
760;0-9;43;2021-03-26
766;0-9;64;2021-03-26
773;0-9;31;2021-03-26
779;0-9;49;2021-03-26
787;0-9;46;2021-03-26
791;0-9;120;2021-03-26
810;0-9;60;2021-03-26
813;0-9;70;2021-03-26
820;0-9;24;2021-03-26
840;0-9;54;2021-03-26
846;0-9;37;2021-03-26
849;0-9;67;2021-03-26
851;0-9;436;2021-03-26
860;0-9;83;2021-03-26
;10-19;64;2021-03-26
011;10-19;3;2021-03-26
019;10-19;17;2021-03-26
101;10-19;4714;2021-03-26
147;10-19;631;2021-03-26
151;10-19;497;2021-03-26
153;10-19;465;2021-03-26
155;10-19;108;2021-03-26
157;10-19;719;2021-03-26
159;10-19;683;2021-03-26
161;10-19;229;2021-03-26
163;10-19;411;2021-03-26
165;10-19;379;2021-03-26
167;10-19;641;2021-03-26
169;10-19;680;2021-03-26
173;10-19;428;2021-03-26
175;10-19;461;2021-03-26
183;10-19;445;2021-03-26
185;10-19;447;2021-03-26
187;10-19;237;2021-03-26
190;10-19;333;2021-03-26
201;10-19;152;2021-03-26
210;10-19;298;2021-03-26
217;10-19;478;2021-03-26
219;10-19;336;2021-03-26
223;10-19;167;2021-03-26
230;10-19;511;2021-03-26
240;10-19;343;2021-03-26
250;10-19;213;2021-03-26
253;10-19;474;2021-03-26
259;10-19;491;2021-03-26
260;10-19;110;2021-03-26
265;10-19;545;2021-03-26
269;10-19;290;2021-03-26
270;10-19;241;2021-03-26
306;10-19;150;2021-03-26
316;10-19;384;2021-03-26
320;10-19;172;2021-03-26
326;10-19;287;2021-03-26
329;10-19;204;2021-03-26
330;10-19;697;2021-03-26
336;10-19;115;2021-03-26
340;10-19;101;2021-03-26
350;10-19;182;2021-03-26
360;10-19;151;2021-03-26
370;10-19;451;2021-03-26
376;10-19;199;2021-03-26
390;10-19;220;2021-03-26
400;10-19;84;2021-03-26
410;10-19;150;2021-03-26
420;10-19;107;2021-03-26
430;10-19;159;2021-03-26
440;10-19;130;2021-03-26
450;10-19;135;2021-03-26
461;10-19;1333;2021-03-26
479;10-19;220;2021-03-26
480;10-19;125;2021-03-26
482;10-19;24;2021-03-26
492;10-19;5;2021-03-26
510;10-19;200;2021-03-26
530;10-19;98;2021-03-26
540;10-19;380;2021-03-26
550;10-19;181;2021-03-26
561;10-19;510;2021-03-26
563;10-19;7;2021-03-26
573;10-19;178;2021-03-26
575;10-19;144;2021-03-26
580;10-19;196;2021-03-26
607;10-19;207;2021-03-26
615;10-19;375;2021-03-26
621;10-19;492;2021-03-26
630;10-19;577;2021-03-26
657;10-19;279;2021-03-26
661;10-19;301;2021-03-26
665;10-19;53;2021-03-26
671;10-19;139;2021-03-26
706;10-19;99;2021-03-26
707;10-19;88;2021-03-26
710;10-19;218;2021-03-26
727;10-19;127;2021-03-26
730;10-19;480;2021-03-26
740;10-19;505;2021-03-26
741;10-19;7;2021-03-26
746;10-19;333;2021-03-26
751;10-19;2385;2021-03-26
756;10-19;177;2021-03-26
760;10-19;144;2021-03-26
766;10-19;219;2021-03-26
773;10-19;55;2021-03-26
779;10-19;137;2021-03-26
787;10-19;138;2021-03-26
791;10-19;333;2021-03-26
810;10-19;139;2021-03-26
813;10-19;210;2021-03-26
820;10-19;105;2021-03-26
825;10-19;1;2021-03-26
840;10-19;125;2021-03-26
846;10-19;134;2021-03-26
849;10-19;151;2021-03-26
851;10-19;1042;2021-03-26
860;10-19;200;2021-03-26
;20-29;377;2021-03-26
011;20-29;93;2021-03-26
019;20-29;10;2021-03-26
101;20-29;12246;2021-03-26
147;20-29;1558;2021-03-26
151;20-29;427;2021-03-26
153;20-29;459;2021-03-26
155;20-29;60;2021-03-26
157;20-29;430;2021-03-26
159;20-29;679;2021-03-26
161;20-29;247;2021-03-26
163;20-29;275;2021-03-26
165;20-29;326;2021-03-26
167;20-29;551;2021-03-26
169;20-29;632;2021-03-26
173;20-29;407;2021-03-26
175;20-29;444;2021-03-26
183;20-29;381;2021-03-26
185;20-29;307;2021-03-26
187;20-29;176;2021-03-26
190;20-29;208;2021-03-26
201;20-29;88;2021-03-26
210;20-29;229;2021-03-26
217;20-29;366;2021-03-26
219;20-29;312;2021-03-26
223;20-29;75;2021-03-26
230;20-29;260;2021-03-26
240;20-29;199;2021-03-26
250;20-29;205;2021-03-26
253;20-29;371;2021-03-26
259;20-29;417;2021-03-26
260;20-29;111;2021-03-26
265;20-29;630;2021-03-26
269;20-29;122;2021-03-26
270;20-29;135;2021-03-26
306;20-29;87;2021-03-26
316;20-29;318;2021-03-26
320;20-29;145;2021-03-26
326;20-29;150;2021-03-26
329;20-29;219;2021-03-26
330;20-29;518;2021-03-26
336;20-29;74;2021-03-26
340;20-29;93;2021-03-26
350;20-29;98;2021-03-26
360;20-29;93;2021-03-26
370;20-29;407;2021-03-26
376;20-29;186;2021-03-26
390;20-29;120;2021-03-26
400;20-29;50;2021-03-26
410;20-29;77;2021-03-26
420;20-29;72;2021-03-26
430;20-29;122;2021-03-26
440;20-29;57;2021-03-26
450;20-29;92;2021-03-26
461;20-29;1965;2021-03-26
479;20-29;145;2021-03-26
480;20-29;72;2021-03-26
482;20-29;10;2021-03-26
492;20-29;4;2021-03-26
510;20-29;180;2021-03-26
530;20-29;78;2021-03-26
540;20-29;236;2021-03-26
550;20-29;80;2021-03-26
561;20-29;522;2021-03-26
563;20-29;2;2021-03-26
573;20-29;158;2021-03-26
575;20-29;137;2021-03-26
580;20-29;161;2021-03-26
607;20-29;187;2021-03-26
615;20-29;474;2021-03-26
621;20-29;466;2021-03-26
630;20-29;593;2021-03-26
657;20-29;306;2021-03-26
661;20-29;257;2021-03-26
665;20-29;43;2021-03-26
671;20-29;71;2021-03-26
706;20-29;78;2021-03-26
707;20-29;80;2021-03-26
710;20-29;119;2021-03-26
727;20-29;35;2021-03-26
730;20-29;418;2021-03-26
740;20-29;309;2021-03-26
741;20-29;4;2021-03-26
746;20-29;181;2021-03-26
751;20-29;4596;2021-03-26
756;20-29;124;2021-03-26
760;20-29;159;2021-03-26
766;20-29;147;2021-03-26
773;20-29;71;2021-03-26
779;20-29;123;2021-03-26
787;20-29;136;2021-03-26
791;20-29;224;2021-03-26
810;20-29;99;2021-03-26
813;20-29;155;2021-03-26
820;20-29;95;2021-03-26
825;20-29;3;2021-03-26
840;20-29;51;2021-03-26
846;20-29;130;2021-03-26
849;20-29;92;2021-03-26
851;20-29;1850;2021-03-26
860;20-29;155;2021-03-26
;30-39;319;2021-03-26
011;30-39;178;2021-03-26
012;30-39;1;2021-03-26
019;30-39;23;2021-03-26
101;30-39;7251;2021-03-26
147;30-39;913;2021-03-26
151;30-39;389;2021-03-26
153;30-39;432;2021-03-26
155;30-39;80;2021-03-26
157;30-39;350;2021-03-26
159;30-39;616;2021-03-26
161;30-39;266;2021-03-26
163;30-39;290;2021-03-26
165;30-39;295;2021-03-26
167;30-39;526;2021-03-26
169;30-39;625;2021-03-26
173;30-39;292;2021-03-26
175;30-39;396;2021-03-26
183;30-39;378;2021-03-26
185;30-39;330;2021-03-26
187;30-39;236;2021-03-26
190;30-39;232;2021-03-26
201;30-39;99;2021-03-26
210;30-39;225;2021-03-26
