"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;56;2021-03-12
019;0-9;14;2021-03-12
101;0-9;2625;2021-03-12
147;0-9;383;2021-03-12
151;0-9;225;2021-03-12
153;0-9;244;2021-03-12
155;0-9;73;2021-03-12
157;0-9;210;2021-03-12
159;0-9;358;2021-03-12
161;0-9;108;2021-03-12
163;0-9;174;2021-03-12
165;0-9;188;2021-03-12
167;0-9;292;2021-03-12
169;0-9;336;2021-03-12
173;0-9;179;2021-03-12
175;0-9;216;2021-03-12
183;0-9;220;2021-03-12
185;0-9;238;2021-03-12
187;0-9;116;2021-03-12
190;0-9;128;2021-03-12
201;0-9;53;2021-03-12
210;0-9;137;2021-03-12
217;0-9;214;2021-03-12
219;0-9;153;2021-03-12
223;0-9;42;2021-03-12
230;0-9;138;2021-03-12
240;0-9;200;2021-03-12
250;0-9;85;2021-03-12
253;0-9;202;2021-03-12
259;0-9;182;2021-03-12
260;0-9;29;2021-03-12
265;0-9;263;2021-03-12
269;0-9;82;2021-03-12
270;0-9;89;2021-03-12
306;0-9;28;2021-03-12
316;0-9;140;2021-03-12
320;0-9;50;2021-03-12
326;0-9;74;2021-03-12
329;0-9;71;2021-03-12
330;0-9;209;2021-03-12
336;0-9;37;2021-03-12
340;0-9;47;2021-03-12
350;0-9;82;2021-03-12
360;0-9;33;2021-03-12
370;0-9;152;2021-03-12
376;0-9;83;2021-03-12
390;0-9;47;2021-03-12
400;0-9;26;2021-03-12
410;0-9;54;2021-03-12
420;0-9;35;2021-03-12
430;0-9;48;2021-03-12
440;0-9;46;2021-03-12
450;0-9;57;2021-03-12
461;0-9;552;2021-03-12
479;0-9;49;2021-03-12
480;0-9;36;2021-03-12
482;0-9;5;2021-03-12
492;0-9;3;2021-03-12
510;0-9;55;2021-03-12
530;0-9;28;2021-03-12
540;0-9;121;2021-03-12
550;0-9;36;2021-03-12
561;0-9;198;2021-03-12
563;0-9;1;2021-03-12
573;0-9;70;2021-03-12
575;0-9;64;2021-03-12
580;0-9;87;2021-03-12
607;0-9;90;2021-03-12
615;0-9;143;2021-03-12
621;0-9;341;2021-03-12
630;0-9;270;2021-03-12
657;0-9;128;2021-03-12
661;0-9;99;2021-03-12
665;0-9;23;2021-03-12
671;0-9;40;2021-03-12
706;0-9;42;2021-03-12
707;0-9;58;2021-03-12
710;0-9;87;2021-03-12
727;0-9;44;2021-03-12
730;0-9;185;2021-03-12
740;0-9;220;2021-03-12
741;0-9;2;2021-03-12
746;0-9;138;2021-03-12
751;0-9;1137;2021-03-12
756;0-9;64;2021-03-12
760;0-9;42;2021-03-12
766;0-9;60;2021-03-12
773;0-9;22;2021-03-12
779;0-9;48;2021-03-12
787;0-9;46;2021-03-12
791;0-9;117;2021-03-12
810;0-9;60;2021-03-12
813;0-9;70;2021-03-12
820;0-9;22;2021-03-12
840;0-9;52;2021-03-12
846;0-9;36;2021-03-12
849;0-9;65;2021-03-12
851;0-9;419;2021-03-12
860;0-9;77;2021-03-12
;10-19;61;2021-03-12
011;10-19;3;2021-03-12
019;10-19;17;2021-03-12
101;10-19;4550;2021-03-12
147;10-19;611;2021-03-12
151;10-19;456;2021-03-12
153;10-19;445;2021-03-12
155;10-19;104;2021-03-12
157;10-19;715;2021-03-12
159;10-19;651;2021-03-12
161;10-19;222;2021-03-12
163;10-19;400;2021-03-12
165;10-19;366;2021-03-12
167;10-19;635;2021-03-12
169;10-19;649;2021-03-12
173;10-19;418;2021-03-12
175;10-19;436;2021-03-12
183;10-19;431;2021-03-12
185;10-19;435;2021-03-12
187;10-19;224;2021-03-12
190;10-19;321;2021-03-12
201;10-19;149;2021-03-12
210;10-19;276;2021-03-12
217;10-19;454;2021-03-12
219;10-19;323;2021-03-12
223;10-19;153;2021-03-12
230;10-19;501;2021-03-12
240;10-19;339;2021-03-12
250;10-19;207;2021-03-12
253;10-19;466;2021-03-12
259;10-19;484;2021-03-12
260;10-19;95;2021-03-12
265;10-19;538;2021-03-12
269;10-19;284;2021-03-12
270;10-19;232;2021-03-12
306;10-19;139;2021-03-12
316;10-19;361;2021-03-12
320;10-19;167;2021-03-12
326;10-19;281;2021-03-12
329;10-19;198;2021-03-12
330;10-19;686;2021-03-12
336;10-19;113;2021-03-12
340;10-19;96;2021-03-12
350;10-19;173;2021-03-12
360;10-19;143;2021-03-12
370;10-19;438;2021-03-12
376;10-19;192;2021-03-12
390;10-19;218;2021-03-12
400;10-19;84;2021-03-12
410;10-19;144;2021-03-12
420;10-19;102;2021-03-12
430;10-19;141;2021-03-12
440;10-19;118;2021-03-12
450;10-19;131;2021-03-12
461;10-19;1258;2021-03-12
479;10-19;204;2021-03-12
480;10-19;110;2021-03-12
482;10-19;23;2021-03-12
492;10-19;5;2021-03-12
510;10-19;176;2021-03-12
530;10-19;89;2021-03-12
540;10-19;371;2021-03-12
550;10-19;164;2021-03-12
561;10-19;433;2021-03-12
563;10-19;7;2021-03-12
573;10-19;173;2021-03-12
575;10-19;134;2021-03-12
580;10-19;182;2021-03-12
607;10-19;201;2021-03-12
615;10-19;365;2021-03-12
621;10-19;461;2021-03-12
630;10-19;502;2021-03-12
657;10-19;278;2021-03-12
661;10-19;303;2021-03-12
665;10-19;52;2021-03-12
671;10-19;137;2021-03-12
706;10-19;101;2021-03-12
707;10-19;91;2021-03-12
710;10-19;211;2021-03-12
727;10-19;124;2021-03-12
730;10-19;440;2021-03-12
740;10-19;495;2021-03-12
741;10-19;7;2021-03-12
746;10-19;327;2021-03-12
751;10-19;2370;2021-03-12
756;10-19;176;2021-03-12
760;10-19;144;2021-03-12
766;10-19;197;2021-03-12
773;10-19;56;2021-03-12
779;10-19;138;2021-03-12
787;10-19;143;2021-03-12
791;10-19;320;2021-03-12
810;10-19;141;2021-03-12
813;10-19;209;2021-03-12
820;10-19;98;2021-03-12
825;10-19;1;2021-03-12
840;10-19;118;2021-03-12
846;10-19;130;2021-03-12
849;10-19;147;2021-03-12
851;10-19;1010;2021-03-12
860;10-19;200;2021-03-12
;20-29;389;2021-03-12
011;20-29;96;2021-03-12
019;20-29;10;2021-03-12
101;20-29;11926;2021-03-12
147;20-29;1535;2021-03-12
151;20-29;400;2021-03-12
153;20-29;433;2021-03-12
155;20-29;57;2021-03-12
157;20-29;423;2021-03-12
159;20-29;646;2021-03-12
161;20-29;238;2021-03-12
163;20-29;269;2021-03-12
165;20-29;307;2021-03-12
167;20-29;536;2021-03-12
169;20-29;597;2021-03-12
173;20-29;401;2021-03-12
175;20-29;430;2021-03-12
183;20-29;353;2021-03-12
185;20-29;292;2021-03-12
187;20-29;169;2021-03-12
190;20-29;195;2021-03-12
201;20-29;82;2021-03-12
210;20-29;217;2021-03-12
217;20-29;349;2021-03-12
219;20-29;296;2021-03-12
223;20-29;69;2021-03-12
230;20-29;254;2021-03-12
240;20-29;192;2021-03-12
250;20-29;194;2021-03-12
253;20-29;359;2021-03-12
259;20-29;407;2021-03-12
260;20-29;107;2021-03-12
265;20-29;615;2021-03-12
269;20-29;117;2021-03-12
270;20-29;126;2021-03-12
306;20-29;79;2021-03-12
316;20-29;296;2021-03-12
320;20-29;140;2021-03-12
326;20-29;147;2021-03-12
329;20-29;215;2021-03-12
330;20-29;500;2021-03-12
336;20-29;73;2021-03-12
340;20-29;92;2021-03-12
350;20-29;96;2021-03-12
360;20-29;86;2021-03-12
370;20-29;402;2021-03-12
376;20-29;181;2021-03-12
390;20-29;118;2021-03-12
400;20-29;51;2021-03-12
410;20-29;74;2021-03-12
420;20-29;70;2021-03-12
430;20-29;117;2021-03-12
440;20-29;50;2021-03-12
450;20-29;86;2021-03-12
