"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;76;0;0;2;24/03/2021
Hovedstaden;0-9;7881;1;1;104;24/03/2021
Midtjylland;0-9;2833;0;0;22;24/03/2021
Nordjylland;0-9;902;0;0;6;24/03/2021
Sjælland;0-9;1868;0;0;17;24/03/2021
Syddanmark;0-9;2505;0;2;21;24/03/2021
;10-19;88;0;0;0;24/03/2021
Hovedstaden;10-19;15451;0;1;87;24/03/2021
Midtjylland;10-19;6516;0;0;24;24/03/2021
Nordjylland;10-19;2349;0;0;8;24/03/2021
Sjælland;10-19;5159;0;0;38;24/03/2021
Syddanmark;10-19;5562;0;0;16;24/03/2021
;20-29;529;0;0;10;24/03/2021
Hovedstaden;20-29;21845;0;6;277;24/03/2021
Midtjylland;20-29;7884;0;0;75;24/03/2021
Nordjylland;20-29;2866;0;0;34;24/03/2021
Sjælland;20-29;4065;0;1;74;24/03/2021
Syddanmark;20-29;5454;0;3;70;24/03/2021
;30-39;580;0;0;20;24/03/2021
Hovedstaden;30-39;15939;4;5;454;24/03/2021
Midtjylland;30-39;5080;0;0;112;24/03/2021
Nordjylland;30-39;1858;0;1;38;24/03/2021
Sjælland;30-39;3862;2;3;110;24/03/2021
Syddanmark;30-39;4095;0;5;92;24/03/2021
;40-49;519;0;0;27;24/03/2021
Hovedstaden;40-49;15371;4;11;595;24/03/2021
Midtjylland;40-49;5538;1;2;179;24/03/2021
Nordjylland;40-49;2047;0;1;62;24/03/2021
Sjælland;40-49;5147;1;5;217;24/03/2021
Syddanmark;40-49;4755;1;6;148;24/03/2021
;50-59;339;1;2;41;24/03/2021
Hovedstaden;50-59;14296;28;16;912;24/03/2021
Midtjylland;50-59;5662;9;5;338;24/03/2021
Nordjylland;50-59;2332;3;4;105;24/03/2021
Sjælland;50-59;5275;8;5;321;24/03/2021
Syddanmark;50-59;4719;4;9;245;24/03/2021
;60-69;115;0;0;22;24/03/2021
Hovedstaden;60-69;7532;109;15;957;24/03/2021
Midtjylland;60-69;3177;28;3;313;24/03/2021
Nordjylland;60-69;1523;10;5;137;24/03/2021
Sjælland;60-69;2936;34;8;379;24/03/2021
Syddanmark;60-69;2649;16;12;274;24/03/2021
;70-79;28;0;0;10;24/03/2021
Hovedstaden;70-79;4739;322;28;1424;24/03/2021
Midtjylland;70-79;1835;86;5;436;24/03/2021
Nordjylland;70-79;969;61;4;216;24/03/2021
Sjælland;70-79;1908;104;11;548;24/03/2021
Syddanmark;70-79;1613;55;12;348;24/03/2021
;80-89;10;1;0;5;24/03/2021
Hovedstaden;80-89;2793;513;4;1265;24/03/2021
Midtjylland;80-89;888;149;0;306;24/03/2021
Nordjylland;80-89;440;62;1;175;24/03/2021
Sjælland;80-89;962;153;6;453;24/03/2021
Syddanmark;80-89;719;89;6;268;24/03/2021
;90+;5;0;0;0;24/03/2021
Hovedstaden;90+;988;303;1;385;24/03/2021
Midtjylland;90+;258;68;0;77;24/03/2021
Nordjylland;90+;125;43;0;38;24/03/2021
Sjælland;90+;271;88;1;131;24/03/2021
Syddanmark;90+;164;44;0;59;24/03/2021
