"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;6;0;0;0;24/03/2021
Hovedstaden;0-9;259;0;0;1;24/03/2021
Midtjylland;0-9;110;0;0;1;24/03/2021
Nordjylland;0-9;14;0;0;0;24/03/2021
Sjælland;0-9;56;0;0;0;24/03/2021
Syddanmark;0-9;174;0;0;0;24/03/2021
;10-19;4;0;0;0;24/03/2021
Hovedstaden;10-19;404;0;0;1;24/03/2021
Midtjylland;10-19;169;0;0;0;24/03/2021
Nordjylland;10-19;57;0;0;0;24/03/2021
Sjælland;10-19;112;0;0;0;24/03/2021
Syddanmark;10-19;285;0;0;0;24/03/2021
;20-29;29;0;0;0;24/03/2021
Hovedstaden;20-29;472;0;2;2;24/03/2021
Midtjylland;20-29;153;0;0;1;24/03/2021
Nordjylland;20-29;61;0;0;0;24/03/2021
Sjælland;20-29;96;0;1;1;24/03/2021
Syddanmark;20-29;210;0;1;1;24/03/2021
;30-39;36;0;0;0;24/03/2021
Hovedstaden;30-39;376;0;2;5;24/03/2021
Midtjylland;30-39;129;0;0;1;24/03/2021
Nordjylland;30-39;38;0;0;0;24/03/2021
Sjælland;30-39;82;0;2;3;24/03/2021
Syddanmark;30-39;174;0;2;2;24/03/2021
;40-49;29;0;0;1;24/03/2021
Hovedstaden;40-49;349;0;2;4;24/03/2021
Midtjylland;40-49;100;0;2;2;24/03/2021
Nordjylland;40-49;58;0;0;0;24/03/2021
Sjælland;40-49;112;0;1;2;24/03/2021
Syddanmark;40-49;182;0;1;2;24/03/2021
;50-59;25;0;1;3;24/03/2021
Hovedstaden;50-59;337;0;6;16;24/03/2021
Midtjylland;50-59;97;0;0;0;24/03/2021
Nordjylland;50-59;42;0;1;1;24/03/2021
Sjælland;50-59;97;0;0;2;24/03/2021
Syddanmark;50-59;125;0;3;6;24/03/2021
;60-69;1;0;0;0;24/03/2021
Hovedstaden;60-69;151;0;7;10;24/03/2021
Midtjylland;60-69;50;0;1;1;24/03/2021
Nordjylland;60-69;41;0;2;2;24/03/2021
Sjælland;60-69;40;0;1;2;24/03/2021
Syddanmark;60-69;68;0;1;1;24/03/2021
Hovedstaden;70-79;76;1;2;2;24/03/2021
Midtjylland;70-79;22;0;3;4;24/03/2021
Nordjylland;70-79;24;0;1;1;24/03/2021
Sjælland;70-79;20;0;4;7;24/03/2021
Syddanmark;70-79;25;0;4;6;24/03/2021
Hovedstaden;80-89;21;1;3;5;24/03/2021
Midtjylland;80-89;2;0;0;0;24/03/2021
Nordjylland;80-89;2;0;0;1;24/03/2021
Sjælland;80-89;7;0;3;3;24/03/2021
Syddanmark;80-89;12;0;2;2;24/03/2021
Hovedstaden;90+;4;1;1;2;24/03/2021
Sjælland;90+;2;0;1;1;24/03/2021
