"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;76;0
Hovedstaden;0-9;7881;1
Midtjylland;0-9;2833;0
Nordjylland;0-9;902;0
Sjælland;0-9;1868;0
Syddanmark;0-9;2505;0
;10-19;88;0
Hovedstaden;10-19;15451;0
Midtjylland;10-19;6516;0
Nordjylland;10-19;2349;0
Sjælland;10-19;5159;0
Syddanmark;10-19;5562;0
;20-29;529;0
Hovedstaden;20-29;21845;0
Midtjylland;20-29;7884;0
Nordjylland;20-29;2866;0
Sjælland;20-29;4065;0
Syddanmark;20-29;5454;0
;30-39;580;0
Hovedstaden;30-39;15939;4
Midtjylland;30-39;5080;0
Nordjylland;30-39;1858;0
Sjælland;30-39;3862;2
Syddanmark;30-39;4095;0
;40-49;519;0
Hovedstaden;40-49;15371;4
Midtjylland;40-49;5538;1
Nordjylland;40-49;2047;0
Sjælland;40-49;5147;1
Syddanmark;40-49;4755;1
;50-59;339;1
Hovedstaden;50-59;14296;28
Midtjylland;50-59;5662;9
Nordjylland;50-59;2332;3
Sjælland;50-59;5275;8
Syddanmark;50-59;4719;4
;60-69;115;0
Hovedstaden;60-69;7532;109
Midtjylland;60-69;3177;28
Nordjylland;60-69;1523;10
Sjælland;60-69;2936;34
Syddanmark;60-69;2649;16
;70-79;28;0
Hovedstaden;70-79;4739;322
Midtjylland;70-79;1835;86
Nordjylland;70-79;969;61
Sjælland;70-79;1908;104
Syddanmark;70-79;1613;55
;80-89;10;1
Hovedstaden;80-89;2793;513
Midtjylland;80-89;888;149
Nordjylland;80-89;440;62
Sjælland;80-89;962;153
Syddanmark;80-89;719;89
;90+;5;0
Hovedstaden;90+;988;303
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;271;88
Syddanmark;90+;164;44
