"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;106835;5811;2449;133,2;1527771;83101;274111;14910;0,89
Midtjylland;39671;2998;832;62,9;1013405;76583;207851;15707;0,40
Nordjylland;15411;2617;337;57,2;485020;82350;101587;17248;0,33
Sjælland;31453;3766;624;74,7;625070;74836;122072;14615;0,51
Syddanmark;32235;2640;1255;102,8;927024;75932;214125;17539;0,59
