"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";489;474;11;974
"'10-19";1101;1298;11;2410
"20-29";2795;3065;40;5900
"30-39";2627;2759;28;5414
"40-49";2788;3386;23;6197
"50-59";3823;4274;17;8114
"60-69";2247;1940;10;4197
"70-79";1817;1713;7;3537
"80-89";1293;2022;0;3315
"90-99";201;655;4;860
"100+";0;10;0;10
"Unbekannt";10;11;2;23
"Gesamt";19191;21607;153;40951
