"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";425;3;20;0;133596;318,12;18;13,47
"LK Altötting";677;5;55;0;111210;608,76;25;22,48
"LK Amberg-Sulzbach";506;2;54;0;103109;490,74;7;6,79
"LK Ansbach";608;0;28;0;183949;330,53;0;0
"LK Aschaffenburg";607;2;42;0;174208;348,43;11;6,31
"LK Augsburg";514;9;11;0;251534;204,35;33;13,12
"LK Bad Kissingen";274;0;18;0;103218;265,46;5;4,84
"LK Bad Tölz-Wolfratshausen";541;1;10;0;127227;425,22;14;11
"LK Bamberg";446;0;36;0;147086;303,22;3;2,04
"LK Bayreuth";436;0;28;0;103656;420,62;3;2,89
"LK Berchtesgadener Land";372;0;25;0;105722;351,87;0;0
"LK Cham";447;0;21;0;127882;349,54;10;7,82
"LK Coburg";426;1;29;0;86906;490,18;11;12,66
"LK Dachau";1042;13;32;1;153884;677,13;30;19,5
"LK Deggendorf";377;18;15;0;119326;315,94;24;20,11
"LK Dillingen a.d.Donau";302;7;29;0;96021;314,51;12;12,5
"LK Dingolfing-Landau";832;0;10;0;96217;864,71;20;20,79
"LK Donau-Ries";394;1;23;0;133496;295,14;12;8,99
"LK Ebersberg";595;9;5;0;142142;418,6;49;34,47
"LK Eichstätt";342;4;20;0;132341;258,42;16;12,09
"LK Erding";757;0;11;0;137660;549,91;24;17,43
"LK Erlangen-Höchstadt";314;0;11;0;136271;230,42;15;11,01
"LK Forchheim";239;2;4;0;116099;205,86;5;4,31
"LK Freising";1086;9;46;0;179116;606,31;33;18,42
"LK Freyung-Grafenau";198;1;12;0;78355;252,7;2;2,55
"LK Fürstenfeldbruck";1028;6;36;0;219320;468,72;34;15,5
"LK Fürth";525;4;58;0;117387;447,24;9;7,67
"LK Garmisch-Partenkirchen";314;0;18;0;88467;354,93;4;4,52
"LK Günzburg";293;5;4;0;125747;233,01;24;19,09
"LK Haßberge";180;0;6;0;84599;212,77;1;1,18
"LK Hof";496;4;32;0;95311;520,4;14;14,69
"LK Kelheim";553;5;35;0;122258;452,32;31;25,36
"LK Kitzingen";210;1;3;0;90909;231;9;9,9
"LK Kronach";177;0;3;0;67135;263,65;2;2,98
"LK Kulmbach";256;0;11;0;71845;356,32;6;8,35
"LK Landsberg a.Lech";398;5;10;0;120071;331,47;17;14,16
"LK Landshut";755;4;31;0;158698;475,75;18;11,34
"LK Lichtenfels";334;1;17;0;66838;499,72;11;16,46
"LK Lindau";265;0;8;0;81669;324,48;8;9,8
"LK Main-Spessart";179;1;6;0;126365;141,65;12;9,5
"LK Miesbach";647;0;11;0;99726;648,78;21;21,06
"LK Miltenberg";348;3;5;0;128756;270,28;7;5,44
"LK Mühldorf a.Inn";553;4;27;0;115250;479,83;20;17,35
"LK München";1616;11;96;1;348871;463,21;54;15,48
"LK Neu-Ulm";533;19;26;0;174200;305,97;37;21,24
"LK Neuburg-Schrobenhausen";357;4;18;0;96680;369,26;12;12,41
"LK Neumarkt i.d.OPf.";409;0;17;0;133561;306,23;1;0,75
"LK Neustadt a.d.Aisch-Bad Windsheim";268;4;6;0;100364;267,03;7;6,97
"LK Neustadt a.d.Waldnaab";848;1;73;0;94352;898,76;1;1,06
"LK Nürnberger Land";684;3;44;0;170365;401,49;10;5,87
"LK Oberallgäu";225;4;7;0;155362;144,82;8;5,15
"LK Ostallgäu";555;1;39;0;140316;395,54;14;9,98
"LK Passau";653;6;31;0;192043;340,03;12;6,25
