"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";773;714;5;1492
"'10-19";1429;1583;3;3015
"20-29";3925;3786;7;7718
"30-39";3409;3308;9;6726
"40-49";3302;3966;4;7272
"50-59";4402;4947;4;9353
"60-69";2590;2238;2;4830
"70-79";2098;2015;1;4114
"80-89";1534;2479;1;4014
"90-99";248;816;0;1064
"100+";0;12;0;12
"Unbekannt";3;3;0;6
"Gesamt";23713;25867;36;49616
