"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";10364;9592;1;481;20438
"'10-19";19434;19063;3;587;39087
"20-29";33193;31010;6;1161;65370
"30-39";27797;26599;8;1093;55497
"40-49";25893;28623;6;994;55516
"50-59";31125;32276;6;734;64141
"60-69";16433;15330;4;336;32103
"70-79";11317;12151;7;228;23703
"80-89";8945;16450;19;246;25660
"90-99";1755;6128;5;90;7978
"100+";43;149;0;10;202
"Unbekannt";118;126;0;46;290
"Gesamt";186417;197497;65;6006;389985
