"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";21932;20362;2;835;43131
"'10-19";34943;33563;7;984;69497
"20-29";55526;50592;5;1586;107709
"30-39";48093;45022;9;1466;94590
"40-49";44983;47203;6;1333;93525
"50-59";52555;51326;7;1072;104960
"60-69";26663;24881;3;462;52009
"70-79";16407;17581;6;291;34285
"80-89";11644;20704;18;327;32693
"90-99";2144;7319;5;107;9575
"100+";25;152;0;4;181
"Unbekannt";26;29;0;9;64
"Gesamt";314941;318734;68;8476;NA
