"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1802;1680;46;3528
"'10-19";4035;3766;67;7868
"20-29";8102;7431;125;15658
"30-39";6190;5723;80;11993
"40-49";5653;6346;68;12067
"50-59";6706;6815;50;13571
"60-69";3506;3080;16;6602
"70-79";2612;2486;13;5111
"80-89";1767;2825;8;4600
"90-99";279;913;0;1192
"100+";3;18;0;21
"Unbekannt";20;29;10;59
"Gesamt";40675;41112;483;82270
