"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";284;0;20;0;133596;212,58;8;5,99
"LK Altötting";586;0;34;0;111210;526,93;21;18,88
"LK Amberg-Sulzbach";450;0;43;0;103109;436,43;13;12,61
"LK Ansbach";536;-2;20;1;183949;291,39;38;20,66
"LK Aschaffenburg";488;0;29;0;174208;280,12;13;7,46
"LK Augsburg";363;0;7;0;251534;144,31;5;1,99
"LK Bad Kissingen";236;2;17;0;103218;228,64;15;14,53
"LK Bad Tölz-Wolfratshausen";406;0;10;0;127227;319,11;6;4,72
"LK Bamberg";389;0;34;0;147086;264,47;11;7,48
"LK Bayreuth";391;2;13;0;103656;377,21;15;14,47
"LK Berchtesgadener Land";269;0;14;0;105722;254,44;1;0,95
"LK Cham";405;0;17;0;127882;316,7;8;6,26
"LK Coburg";197;3;8;0;86906;226,68;23;26,47
"LK Dachau";854;0;21;0;153884;554,96;37;24,04
"LK Deggendorf";268;0;11;0;119326;224,59;17;14,25
"LK Dillingen a.d.Donau";247;0;20;0;96021;257,24;30;31,24
"LK Dingolfing-Landau";195;3;4;0;96217;202,67;9;9,35
"LK Donau-Ries";335;0;22;0;133496;250,94;17;12,73
"LK Ebersberg";462;6;5;0;142142;325,03;30;21,11
"LK Eichstätt";271;2;16;0;132341;204,77;15;11,33
"LK Erding";585;0;8;0;137660;424,96;18;13,08
"LK Erlangen-Höchstadt";200;0;6;0;136271;146,77;1;0,73
"LK Forchheim";196;0;4;0;116099;168,82;1;0,86
"LK Freising";944;2;35;0;179116;527,03;22;12,28
"LK Freyung-Grafenau";182;0;11;0;78355;232,28;15;19,14
"LK Fürstenfeldbruck";801;0;32;0;219320;365,22;30;13,68
"LK Fürth";473;3;52;0;117387;402,94;13;11,07
"LK Garmisch-Partenkirchen";264;0;15;0;88467;298,42;8;9,04
"LK Günzburg";221;0;2;0;125747;175,75;5;3,98
"LK Haßberge";153;3;5;1;84599;180,85;7;8,27
"LK Hof";402;12;26;1;95311;421,78;28;29,38
"LK Kelheim";435;1;32;0;122258;355,8;11;9
"LK Kitzingen";178;2;3;0;90909;195,8;35;38,5
"LK Kronach";138;1;3;0;67135;205,56;9;13,41
"LK Kulmbach";212;0;11;0;71845;295,08;22;30,62
"LK Landsberg a.Lech";331;0;10;0;120071;275,67;8;6,66
"LK Landshut";650;7;27;0;158698;409,58;28;17,64
"LK Lichtenfels";200;0;2;0;66838;299,23;8;11,97
"LK Lindau";239;0;6;0;81669;292,64;1;1,22
"LK Main-Spessart";147;0;6;0;126365;116,33;3;2,37
"LK Miesbach";516;0;7;0;99726;517,42;24;24,07
"LK Miltenberg";273;1;5;1;128756;212,03;16;12,43
"LK Mühldorf a.Inn";482;0;20;0;115250;418,22;22;19,09
"LK München";1294;8;37;4;348871;370,91;70;20,06
"LK Neu-Ulm";407;0;18;0;174200;233,64;8;4,59
"LK Neuburg-Schrobenhausen";271;3;13;0;96680;280,31;22;22,76
"LK Neumarkt i.d.OPf.";345;0;12;0;133561;258,31;18;13,48
"LK Neustadt a.d.Aisch-Bad Windsheim";218;0;6;0;100364;217,21;3;2,99
"LK Neustadt a.d.Waldnaab";778;1;52;3;94352;824,57;39;41,33
