"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";2244;40;42;3;134655;1666,48;197;146,3
"LK Altötting";2376;39;72;-1;111516;2130,64;254;227,77
"LK Amberg-Sulzbach";1681;28;75;2;103049;1631,26;197;191,17
"LK Ansbach";2580;31;62;0;184591;1397,68;240;130,02
"LK Aschaffenburg";2749;38;53;4;174200;1578,07;246;141,22
"LK Augsburg";4703;91;40;0;253468;1855,46;570;224,88
"LK Bad Kissingen";978;37;19;0;103235;947,35;163;157,89
"LK Bad Tölz-Wolfratshausen";2011;22;15;0;127917;1572,11;167;130,55
"LK Bamberg";1744;11;55;0;147163;1185,08;110;74,75
"LK Bayreuth";1135;20;33;1;103664;1094,88;103;99,36
"LK Berchtesgadener Land";2174;24;40;2;105929;2052,32;150;141,6
"LK Cham";1900;30;40;2;127998;1484,4;133;103,91
"LK Coburg";1498;72;48;3;86747;1726,86;223;257,07
"LK Dachau";3677;54;67;0;154899;2373,8;340;219,5
"LK Deggendorf";1711;0;29;0;119478;1432,06;207;173,25
"LK Dillingen a.d.Donau";1494;30;53;0;96562;1547,19;160;165,7
"LK Dingolfing-Landau";1969;8;31;2;96683;2036,55;166;171,7
"LK Donau-Ries";2039;3;41;1;133783;1524,11;152;113,62
"LK Ebersberg";2633;39;34;3;143649;1832,94;277;192,83
"LK Eichstätt";1811;26;35;0;132881;1362,87;181;136,21
"LK Erding";3028;142;25;0;138182;2191,31;392;283,68
"LK Erlangen-Höchstadt";1851;37;38;4;137262;1348,52;218;158,82
"LK Forchheim";1405;11;19;0;116203;1209,09;158;135,97
"LK Freising";3346;31;53;0;180007;1858,82;245;136,11
"LK Freyung-Grafenau";1767;22;35;1;78362;2254,92;262;334,35
"LK Fürstenfeldbruck";4412;46;69;0;219311;2011,75;334;152,3
"LK Fürth";2127;22;93;1;117853;1804,79;208;176,49
"LK Garmisch-Partenkirchen";1275;45;26;2;88424;1441,92;138;156,07
"LK Günzburg";2685;60;40;2;127027;2113,72;284;223,57
"LK Haßberge";1280;31;26;2;84384;1516,88;162;191,98
"LK Hof";1595;22;45;2;94801;1682,47;214;225,74
"LK Kelheim";1758;0;39;0;123058;1428,59;121;98,33
"LK Kitzingen";1029;17;12;0;91155;1128,85;79;86,67
"LK Kronach";1038;9;20;1;66743;1555,22;129;193,28
"LK Kulmbach";867;20;13;1;71566;1211,47;102;142,53
"LK Landsberg a.Lech";1816;10;22;2;120302;1509,53;192;159,6
"LK Landshut";2896;35;79;1;159895;1811,19;381;238,28
"LK Lichtenfels";1164;5;33;1;66776;1743,14;112;167,72
"LK Lindau";1296;50;13;0;81981;1580,85;164;200,05
"LK Main-Spessart";1666;44;63;12;126158;1320,57;327;259,2
"LK Miesbach";1895;14;11;0;100010;1894,81;133;132,99
"LK Miltenberg";2024;25;29;1;128743;1572,12;174;135,15
"LK Mühldorf a.Inn";2545;37;44;2;115872;2196,39;237;204,54
