"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";545;526;15;1086
"'10-19";1189;1391;13;2593
"20-29";3138;3290;37;6465
"30-39";2849;2925;17;5791
"40-49";2941;3576;16;6533
"50-59";4035;4490;7;8532
"60-69";2365;2051;10;4426
"70-79";1938;1826;5;3769
"80-89";1413;2214;0;3627
"90-99";225;725;3;953
"100+";0;14;0;14
"Unbekannt";7;9;2;18
"Gesamt";20645;23037;125;43807
