"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5234;7;101;0;134655;3886,97;24;17,82
"LK Altötting";6078;1;210;0;111516;5450,34;4;3,59
"LK Amberg-Sulzbach";4856;1;160;0;103049;4712,32;9;8,73
"LK Ansbach";8429;0;197;0;184591;4566,31;5;2,71
"LK Aschaffenburg";8044;3;213;0;174200;4617,68;11;6,31
"LK Augsburg";11522;10;233;1;253468;4545,74;23;9,07
"LK Bad Kissingen";3648;1;104;0;103235;3533,69;4;3,87
"LK Bad Tölz-Wolfratshausen";5135;3;79;0;127917;4014,32;15;11,73
"LK Bamberg";5680;3;145;0;147163;3859,67;16;10,87
"LK Bayreuth";4939;3;163;0;103664;4764,43;3;2,89
"LK Berchtesgadener Land";6076;7;102;0;105929;5735,92;35;33,04
"LK Cham";7143;2;182;0;127998;5580,56;7;5,47
"LK Coburg";4892;1;161;0;86747;5639,39;3;3,46
"LK Dachau";8281;10;143;0;154899;5346,06;25;16,14
"LK Deggendorf";7031;1;160;0;119478;5884,77;13;10,88
"LK Dillingen a.d.Donau";3829;10;115;0;96562;3965,33;22;22,78
"LK Dingolfing-Landau";5847;2;99;0;96683;6047,6;8;8,27
"LK Donau-Ries";6034;7;165;0;133783;4510,29;24;17,94
"LK Ebersberg";6404;0;181;0;143649;4458,09;8;5,57
"LK Eichstätt";5097;3;86;0;132881;3835,76;12;9,03
"LK Erding";7005;3;118;0;138182;5069,4;14;10,13
"LK Erlangen-Höchstadt";5440;2;130;0;137262;3963,22;7;5,1
"LK Forchheim";4815;3;113;0;116203;4143,61;10;8,61
"LK Freising";8278;5;130;0;180007;4598,71;39;21,67
"LK Freyung-Grafenau";4927;5;128;0;78362;6287,49;11;14,04
"LK Fürstenfeldbruck";9793;7;140;0;219311;4465,35;25;11,4
"LK Fürth";5395;3;209;0;117853;4577,74;10;8,49
"LK Garmisch-Partenkirchen";3663;2;87;0;88424;4142,54;7;7,92
"LK Günzburg";6957;-62;110;0;127027;5476,79;15;11,81
"LK Haßberge";4086;0;87;0;84384;4842,15;3;3,56
"LK Hof";6410;1;157;0;94801;6761,53;2;2,11
"LK Kelheim";5943;0;110;0;123058;4829,43;1;0,81
"LK Kitzingen";3310;5;87;0;91155;3631,18;8;8,78
"LK Kronach";4235;0;96;0;66743;6345,23;1;1,5
"LK Kulmbach";4088;1;117;0;71566;5712,21;2;2,79
"LK Landsberg a.Lech";4127;2;71;0;120302;3430,53;11;9,14
"LK Landshut";8050;-5;169;-6;159895;5034,55;20;12,51
"LK Lichtenfels";3592;1;85;0;66776;5379,18;2;3
"LK Lindau";3458;0;63;0;81981;4218,05;5;6,1
"LK Main-Spessart";4778;0;215;0;126158;3787,31;8;6,34
"LK Miesbach";4616;4;82;0;100010;4615,54;15;15
"LK Miltenberg";6016;3;129;0;128743;4672,88;7;5,44
"LK Mühldorf a.Inn";6994;4;155;0;115872;6035,97;10;8,63
"LK München";15496;8;294;0;350473;4421,45;42;11,98
"LK Neu-Ulm";7792;7;121;0;175204;4447,39;11;6,28
"LK Neuburg-Schrobenhausen";4208;0;80;0;97303;4324,64;13;13,36
"LK Neumarkt i.d.OPf.";6576;1;142;0;134573;4886,57;0;0
"LK Neustadt a.d.Aisch-Bad Windsheim";4393;0;107;0;101014;4348,9;1;0,99
"LK Neustadt a.d.Waldnaab";5262;1;188;0;94450;5571,2;4;4,24
"LK Nürnberger Land";7468;0;186;0;170792;4372,57;6;3,51
"LK Oberallgäu";5986;6;90;0;156008;3836,98;18;11,54
"LK Ostallgäu";7174;2;134;0;141182;5081,38;5;3,54
"LK Passau";12971;-2;371;0;192656;6732,73;7;3,63
"LK Pfaffenhofen a.d.Ilm";5677;1;159;0;128227;4427,3;13;10,14
"LK Regen";5541;3;163;0;77410;7157,99;9;11,63
"LK Regensburg";8358;1;208;0;194070;4306,69;21;10,82
"LK Rhön-Grabfeld";3560;0;89;0;79635;4470,4;6;7,53
"LK Rosenheim";13978;7;462;0;261330;5348,79;19;7,27
"LK Roth";5701;1;174;0;126749;4497,87;6;4,73
"LK Rottal-Inn";7566;0;182;0;121502;6227,06;2;1,65
"LK Schwandorf";8410;9;157;0;147872;5687,35;18;12,17
"LK Schweinfurt";5156;1;139;0;115445;4466,2;1;0,87
"LK Starnberg";5175;2;113;0;136667;3786,58;29;21,22
"LK Straubing-Bogen";5388;2;141;0;101120;5328,32;12;11,87
"LK Tirschenreuth";5319;1;265;0;72046;7382,78;2;2,78
"LK Traunstein";11133;2;217;0;177319;6278,51;16;9,02
"LK Unterallgäu";7311;5;169;0;145341;5030,24;18;12,38
"LK Weilheim-Schongau";5183;1;84;0;135478;3825,71;15;11,07
"LK Weißenburg-Gunzenhausen";3928;0;118;0;94734;4146,35;3;3,17
"LK Wunsiedel i.Fichtelgebirge";5033;0;198;0;72655;6927,26;2;2,75
"LK Würzburg";4482;1;73;0;162302;2761,52;10;6,16
"SK Amberg";1772;1;24;0;42207;4198,36;7;16,58
"SK Ansbach";1880;1;45;0;41798;4497,82;3;7,18
"SK Aschaffenburg";3514;2;115;0;71002;4949,16;8;11,27
"SK Augsburg";18133;4;405;1;296582;6113,99;50;16,86
"SK Bamberg";3165;5;108;0;77373;4090,57;22;28,43
"SK Bayreuth";3480;0;109;0;74783;4653,46;2;2,67
"SK Coburg";2405;1;92;0;41072;5855,57;1;2,43
"SK Erlangen";4029;0;95;0;112528;3580,44;15;13,33
"SK Fürth";7762;0;225;0;128497;6040,61;9;7
"SK Hof";3972;0;117;0;45825;8667,76;0;0
"SK Ingolstadt";6243;3;115;0;137392;4543,93;21;15,28
"SK Kaufbeuren";2396;1;56;0;44398;5396,64;3;6,76
"SK Kempten";3278;0;48;0;69151;4740,35;3;4,34
"SK Landshut";4112;7;116;6;73411;5601,34;4;5,45
"SK Memmingen";2264;1;26;0;44100;5133,79;7;15,87
"SK München";74372;85;1267;1;1484226;5010,83;272;18,33
"SK Nürnberg";34835;4;968;0;518370;6720,1;57;11
"SK Passau";3405;0;113;0;52803;6448,5;3;5,68
"SK Regensburg";7069;4;91;0;153094;4617,42;28;18,29
"SK Rosenheim";3949;2;67;0;63551;6213,91;5;7,87
"SK Schwabach";2157;0;105;0;40981;5263,41;3;7,32
"SK Schweinfurt";3186;1;91;0;53426;5963,39;10;18,72
"SK Straubing";2382;0;87;0;47791;4984,2;0;0
"SK Weiden i.d.OPf.";2701;2;98;0;42743;6319,16;3;7,02
"SK Würzburg";4612;8;124;0;127934;3604,98;25;19,54
