"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";3495;0;83;0;134655;2595,52;22;16,34
"LK Altötting";3984;23;162;0;111516;3572,58;146;130,92
"LK Amberg-Sulzbach";3113;11;111;0;103049;3020,89;197;191,17
"LK Ansbach";4999;38;132;0;184591;2708,15;177;95,89
"LK Aschaffenburg";5750;4;184;0;174200;3300,8;70;40,18
"LK Augsburg";7664;8;170;0;253468;3023,66;112;44,19
"LK Bad Kissingen";2295;3;81;0;103235;2223,08;48;46,5
"LK Bad Tölz-Wolfratshausen";3539;13;58;1;127917;2766,64;58;45,34
"LK Bamberg";3778;24;112;0;147163;2567,22;92;62,52
"LK Bayreuth";3428;18;127;0;103664;3306,84;120;115,76
"LK Berchtesgadener Land";4380;20;95;0;105929;4134,85;113;106,68
"LK Cham";3944;12;117;0;127998;3081,3;189;147,66
"LK Coburg";3305;3;140;0;86747;3809,93;34;39,19
"LK Dachau";5775;0;127;0;154899;3728,24;54;34,86
"LK Deggendorf";4368;8;120;0;119478;3655,9;76;63,61
"LK Dillingen a.d.Donau";2543;0;96;0;96562;2633,54;27;27,96
"LK Dingolfing-Landau";3322;22;72;0;96683;3435,97;77;79,64
"LK Donau-Ries";3616;3;139;0;133783;2702,88;16;11,96
"LK Ebersberg";4758;2;162;0;143649;3312,24;71;49,43
"LK Eichstätt";3392;2;70;0;132881;2552,66;50;37,63
"LK Erding";5029;0;90;0;138182;3639,4;53;38,36
"LK Erlangen-Höchstadt";3645;6;109;0;137262;2655,51;92;67,03
"LK Forchheim";3374;1;95;0;116203;2903,54;95;81,75
"LK Freising";5737;26;108;0;180007;3187,1;131;72,77
"LK Freyung-Grafenau";3524;22;101;0;78362;4497,08;80;102,09
"LK Fürstenfeldbruck";7068;20;120;0;219311;3222,82;125;57
"LK Fürth";3791;24;175;0;117853;3216,72;95;80,61
"LK Garmisch-Partenkirchen";2533;1;79;0;88424;2864,61;40;45,24
"LK Günzburg";4368;0;94;0;127027;3438,64;63;49,6
"LK Haßberge";2433;1;68;0;84384;2883,25;26;30,81
"LK Hof";3948;24;114;2;94801;4164,51;130;137,13
"LK Kelheim";3219;8;82;0;123058;2615,84;58;47,13
"LK Kitzingen";2223;2;77;0;91155;2438,7;56;61,43
"LK Kronach";2247;5;60;0;66743;3366,65;60;89,9
"LK Kulmbach";2385;8;93;0;71566;3332,59;158;220,78
"LK Landsberg a.Lech";2984;8;49;0;120302;2480,42;53;44,06
"LK Landshut";5096;10;148;0;159895;3187,09;73;45,65
"LK Lichtenfels";2222;1;56;0;66776;3327,54;75;112,32
"LK Lindau";2335;0;57;0;81981;2848,22;51;62,21
"LK Main-Spessart";3191;0;185;0;126158;2529,37;38;30,12
"LK Miesbach";3183;12;57;0;100010;3182,68;66;65,99
"LK Miltenberg";4237;12;111;0;128743;3291,05;66;51,26
"LK Mühldorf a.Inn";4640;9;122;0;115872;4004,42;134;115,64
"LK München";11295;40;251;0;350473;3222,79;186;53,07
"LK Neu-Ulm";4893;5;104;0;175204;2792,74;96;54,79
"LK Neuburg-Schrobenhausen";2716;1;63;0;97303;2791,28;26;26,72
"LK Neumarkt i.d.OPf.";4146;26;109;0;134573;3080,86;92;68,36
"LK Neustadt a.d.Aisch-Bad Windsheim";2750;7;74;0;101014;2722,39;98;97,02
"LK Neustadt a.d.Waldnaab";4051;6;144;0;94450;4289,04;147;155,64
"LK Nürnberger Land";4904;9;154;0;170792;2871,33;111;64,99
"LK Oberallgäu";3757;7;56;0;156008;2408,21;78;50
"LK Ostallgäu";3897;0;104;0;141182;2760,27;52;36,83
"LK Passau";10038;2;327;1;192656;5210,32;220;114,19
"LK Pfaffenhofen a.d.Ilm";3814;3;146;0;128227;2974,41;61;47,57
"LK Regen";4271;0;153;2;77410;5517,38;111;143,39
"LK Regensburg";5027;1;140;0;194070;2590,3;91;46,89
"LK Rhön-Grabfeld";2130;1;66;0;79635;2674,7;33;41,44
"LK Rosenheim";10710;24;421;0;261330;4098,27;251;96,05
"LK Roth";3987;21;154;0;126749;3145,59;63;49,7
"LK Rottal-Inn";5250;5;150;0;121502;4320,92;77;63,37
"LK Schwandorf";5012;30;114;0;147872;3389,42;252;170,42
"LK Schweinfurt";3352;4;112;1;115445;2903,55;42;36,38
"LK Starnberg";3745;4;94;0;136667;2740,24;36;26,34
"LK Straubing-Bogen";3444;0;120;0;101120;3405,85;58;57,36
"LK Tirschenreuth";4340;21;216;0;72046;6023,93;167;231,8
"LK Traunstein";7512;26;192;1;177319;4236,43;109;61,47
"LK Unterallgäu";4090;5;115;0;145341;2814,07;63;43,35
"LK Weilheim-Schongau";3254;2;52;0;135478;2401,87;57;42,07
"LK Weißenburg-Gunzenhausen";2620;0;101;0;94734;2765,64;18;19
"LK Wunsiedel i.Fichtelgebirge";3709;22;161;0;72655;5104,95;208;286,28
"LK Würzburg";3029;4;58;1;162302;1866,27;55;33,89
"SK Amberg";953;1;13;0;42207;2257,92;40;94,77
"SK Ansbach";1268;5;39;0;41798;3033,64;24;57,42
"SK Aschaffenburg";2230;9;92;0;71002;3140,76;62;87,32
"SK Augsburg";12092;15;329;0;296582;4077,12;157;52,94
"SK Bamberg";2154;9;94;0;77373;2783,92;56;72,38
"SK Bayreuth";2313;12;90;0;74783;3092,95;72;96,28
"SK Coburg";1622;4;86;0;41072;3949,16;22;53,56
"SK Erlangen";2827;4;83;0;112528;2512,26;50;44,43
"SK Fürth";4879;10;178;0;128497;3796,98;91;70,82
"SK Hof";2305;30;70;0;45825;5030,01;115;250,95
"SK Ingolstadt";4094;4;91;0;137392;2979,8;40;29,11
"SK Kaufbeuren";1464;0;47;0;44398;3297,45;4;9,01
"SK Kempten";1574;0;33;0;69151;2276,18;16;23,14
"SK Landshut";2707;2;93;0;73411;3687,46;36;49,04
"SK Memmingen";1223;0;17;0;44100;2773,24;12;27,21
"SK München";53923;70;1077;0;1484226;3633,07;590;39,75
"SK Nürnberg";23747;84;773;0;518370;4581,09;509;98,19
"SK Passau";2709;2;106;0;52803;5130,39;44;83,33
"SK Regensburg";4274;0;61;0;153094;2791,75;71;46,38
"SK Rosenheim";2883;8;53;0;63551;4536,51;38;59,79
"SK Schwabach";1577;8;100;0;40981;3848,12;23;56,12
"SK Schweinfurt";1513;0;59;0;53426;2831,95;6;11,23
"SK Straubing";1527;1;77;0;47791;3195,16;18;37,66
"SK Weiden i.d.OPf.";2130;8;68;0;42743;4983,27;112;262,03
"SK Würzburg";3002;5;97;0;127934;2346,52;57;44,55
