"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";283;0;20;0;133596;211,83;2;1,5
"LK Altötting";590;2;41;1;111210;530,53;6;5,4
"LK Amberg-Sulzbach";460;6;44;1;103109;446,13;18;17,46
"LK Ansbach";555;9;20;0;183949;301,71;28;15,22
"LK Aschaffenburg";496;4;32;0;174208;284,72;9;5,17
"LK Augsburg";367;0;8;0;251534;145,9;5;1,99
"LK Bad Kissingen";236;0;18;0;103218;228,64;7;6,78
"LK Bad Tölz-Wolfratshausen";410;1;10;0;127227;322,26;4;3,14
"LK Bamberg";390;0;34;0;147086;265,15;6;4,08
"LK Bayreuth";401;5;25;1;103656;386,86;14;13,51
"LK Berchtesgadener Land";283;13;14;0;105722;267,68;14;13,24
"LK Cham";411;2;20;1;127882;321,39;3;2,35
"LK Coburg";200;0;8;0;86906;230,13;13;14,96
"LK Dachau";888;11;24;1;153884;577,06;33;21,44
"LK Deggendorf";278;1;12;0;119326;232,98;13;10,89
"LK Dillingen a.d.Donau";252;4;21;0;96021;262,44;9;9,37
"LK Dingolfing-Landau";196;0;5;0;96217;203,71;7;7,28
"LK Donau-Ries";337;1;23;0;133496;252,44;6;4,49
"LK Ebersberg";465;1;5;0;142142;327,14;7;4,92
"LK Eichstätt";275;1;16;0;132341;207,8;8;6,04
"LK Erding";604;9;9;0;137660;438,76;19;13,8
"LK Erlangen-Höchstadt";204;0;6;0;136271;149,7;4;2,94
"LK Forchheim";197;0;4;0;116099;169,68;1;0,86
"LK Freising";941;4;37;0;179116;525,36;15;8,37
"LK Freyung-Grafenau";184;1;11;0;78355;234,83;3;3,83
"LK Fürstenfeldbruck";830;6;33;0;219320;378,44;30;13,68
"LK Fürth";477;2;56;1;117387;406,35;7;5,96
"LK Garmisch-Partenkirchen";268;1;15;0;88467;302,94;4;4,52
"LK Günzburg";229;4;2;0;125747;182,11;13;10,34
"LK Haßberge";154;0;5;0;84599;182,04;4;4,73
"LK Hof";410;1;26;0;95311;430,17;22;23,08
"LK Kelheim";437;0;33;1;122258;357,44;5;4,09
"LK Kitzingen";189;3;3;0;90909;207,9;15;16,5
"LK Kronach";144;1;3;0;67135;214,49;8;11,92
"LK Kulmbach";228;1;11;0;71845;317,35;14;19,49
"LK Landsberg a.Lech";339;3;10;0;120071;282,33;9;7,5
"LK Landshut";660;3;28;1;158698;415,88;18;11,34
"LK Lichtenfels";212;1;2;0;66838;317,18;14;20,95
"LK Lindau";240;0;6;0;81669;293,87;1;1,22
"LK Main-Spessart";148;0;6;0;126365;117,12;2;1,58
"LK Miesbach";534;10;7;0;99726;535,47;22;22,06
"LK Miltenberg";276;0;5;0;128756;214,36;4;3,11
"LK Mühldorf a.Inn";490;2;23;1;115250;425,16;9;7,81
"LK München";1333;2;44;0;348871;382,09;54;15,48
"LK Neu-Ulm";412;0;19;0;174200;236,51;5;2,87
"LK Neuburg-Schrobenhausen";297;12;13;0;96680;307,2;32;33,1
"LK Neumarkt i.d.OPf.";352;0;13;0;133561;263,55;7;5,24
"LK Neustadt a.d.Aisch-Bad Windsheim";215;-4;7;1;100364;214,22;1;1
"LK Neustadt a.d.Waldnaab";785;2;56;0;94352;831,99;10;10,6
"LK Nürnberger Land";602;2;41;3;170365;353,36;10;5,87
"LK Oberallgäu";171;0;7;0;155362;110,07;4;2,57
"LK Ostallgäu";505;1;34;1;140316;359,9;3;2,14
"LK Passau";534;7;21;1;192043;278,06;15;7,81
"LK Pfaffenhofen a.d.Ilm";340;0;18;0;127151;267,4;7;5,51
"LK Regen";170;4;5;0;77656;218,91;9;11,59
"LK Regensburg";432;8;13;0;193572;223,17;19;9,82
"LK Rhön-Grabfeld";189;0;6;0;79690;237,17;4;5,02
"LK Rosenheim";2112;20;153;1;260983;809,25;97;37,17
"LK Roth";291;0;7;0;126958;229,21;2;1,58
