"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";3581;4;86;0;134655;2659,39;50;37,13
"LK Altötting";4190;16;178;1;111516;3757,31;118;105,81
"LK Amberg-Sulzbach";3396;27;125;0;103049;3295,52;148;143,62
"LK Ansbach";5297;18;147;-1;184591;2869,59;143;77,47
"LK Aschaffenburg";5982;30;188;1;174200;3433,98;130;74,63
"LK Augsburg";7968;54;176;1;253468;3143,59;179;70,62
"LK Bad Kissingen";2431;24;82;0;103235;2354,82;88;85,24
"LK Bad Tölz-Wolfratshausen";3625;4;59;0;127917;2833,87;50;39,09
"LK Bamberg";3885;8;122;0;147163;2639,93;65;44,17
"LK Bayreuth";3640;33;131;1;103664;3511,34;113;109,01
"LK Berchtesgadener Land";4547;11;96;0;105929;4292,5;87;82,13
"LK Cham";4301;25;123;0;127998;3360,21;222;173,44
"LK Coburg";3383;3;141;1;86747;3899,85;36;41,5
"LK Dachau";5950;20;127;0;154899;3841,21;119;76,82
"LK Deggendorf";4602;24;125;3;119478;3851,76;122;102,11
"LK Dillingen a.d.Donau";2608;11;100;1;96562;2700,86;49;50,74
"LK Dingolfing-Landau";3499;13;76;0;96683;3619,04;104;107,57
"LK Donau-Ries";3700;16;142;0;133783;2765,67;66;49,33
"LK Ebersberg";4897;21;170;0;143649;3409;91;63,35
"LK Eichstätt";3433;0;70;0;132881;2583,51;22;16,56
"LK Erding";5288;13;101;0;138182;3826,84;85;61,51
"LK Erlangen-Höchstadt";3814;22;112;0;137262;2778,63;102;74,31
"LK Forchheim";3566;15;97;0;116203;3068,77;101;86,92
"LK Freising";5904;13;110;0;180007;3279,87;134;74,44
"LK Freyung-Grafenau";3732;17;108;0;78362;4762,51;116;148,03
"LK Fürstenfeldbruck";7310;23;120;0;219311;3333,17;127;57,91
"LK Fürth";3960;13;180;0;117853;3360,12;105;89,09
"LK Garmisch-Partenkirchen";2606;10;80;0;88424;2947,16;43;48,63
"LK Günzburg";4457;11;95;0;127027;3508,7;43;33,85
"LK Haßberge";2507;8;69;0;84384;2970,94;45;53,33
"LK Hof";4162;18;116;2;94801;4390,25;110;116,03
"LK Kelheim";3395;25;83;0;123058;2758,86;111;90,2
"LK Kitzingen";2244;0;80;2;91155;2461,74;8;8,78
"LK Kronach";2452;30;72;2;66743;3673,79;125;187,29
"LK Kulmbach";2717;44;96;0;71566;3796,5;178;248,72
"LK Landsberg a.Lech";3080;4;56;1;120302;2560,22;42;34,91
"LK Landshut";5287;32;151;0;159895;3306,54;144;90,06
"LK Lichtenfels";2330;2;60;0;66776;3489,28;67;100,34
"LK Lindau";2460;14;57;0;81981;3000,7;77;93,92
"LK Main-Spessart";3420;38;186;0;126158;2710,89;159;126,03
"LK Miesbach";3300;16;57;0;100010;3299,67;74;73,99
"LK Miltenberg";4392;18;113;0;128743;3411,45;88;68,35
"LK Mühldorf a.Inn";4851;19;127;0;115872;4186,52;130;112,19
"LK München";11666;34;272;0;350473;3328,64;226;64,48
"LK Neu-Ulm";5032;6;104;0;175204;2872,08;73;41,67
"LK Neuburg-Schrobenhausen";2804;21;64;0;97303;2881,72;62;63,72
"LK Neumarkt i.d.OPf.";4318;8;109;0;134573;3208,67;80;59,45
"LK Neustadt a.d.Aisch-Bad Windsheim";2913;20;81;2;101014;2883,76;81;80,19
"LK Neustadt a.d.Waldnaab";4313;26;149;0;94450;4566,44;136;143,99
"LK Nürnberger Land";5086;0;155;0;170792;2977,89;87;50,94
"LK Oberallgäu";3912;22;57;0;156008;2507,56;98;62,82
"LK Ostallgäu";4128;12;105;0;141182;2923,89;147;104,12
"LK Passau";10461;37;332;0;192656;5429,89;240;124,57
"LK Pfaffenhofen a.d.Ilm";3928;31;147;0;128227;3063,32;78;60,83
"LK Regen";4428;9;153;0;77410;5720,19;89;114,97
"LK Regensburg";5222;1;155;0;194070;2690,78;127;65,44
"LK Rhön-Grabfeld";2239;9;67;1;79635;2811,58;63;79,11
"LK Rosenheim";11068;33;424;0;261330;4235,26;197;75,38
"LK Roth";4110;20;160;0;126749;3242,63;79;62,33
"LK Rottal-Inn";5408;12;157;0;121502;4450,96;81;66,67
"LK Schwandorf";5559;31;119;2;147872;3759,33;287;194,09
"LK Schweinfurt";3444;12;112;0;115445;2983,24;48;41,58
"LK Starnberg";3836;6;98;0;136667;2806,82;68;49,76
