"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";812;755;7;1574
"'10-19";1488;1628;3;3119
"20-29";4031;3884;13;7928
"30-39";3506;3401;13;6920
"40-49";3387;4040;5;7432
"50-59";4467;4993;8;9468
"60-69";2620;2261;1;4882
"70-79";2106;2023;1;4130
"80-89";1542;2487;1;4030
"90-99";250;818;0;1068
"100+";0;12;0;12
"Unbekannt";3;5;18;26
"Gesamt";24212;26307;70;50589
