"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22540;20904;1;721;44166
"'10-19";36067;34613;5;892;71577
"20-29";56803;51708;4;1463;109978
"30-39";48995;45848;5;1356;96204
"40-49";45634;47925;4;1237;94800
"50-59";53158;51857;6;969;105990
"60-69";26924;25121;2;426;52473
"70-79";16482;17693;2;259;34436
"80-89";11707;20818;12;290;32827
"90-99";2151;7356;2;85;9594
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";320505;324015;43;7708;652271
