"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";2453;2288;66;4807
"'10-19";5430;5139;101;10670
"20-29";10495;9464;194;20153
"30-39";8030;7274;136;15440
"40-49";7327;7998;114;15439
"50-59";8734;8626;92;17452
"60-69";4429;3906;34;8369
"70-79";3167;3041;23;6231
"80-89";2048;3221;16;5285
"90-99";314;1034;2;1350
"100+";5;26;0;31
"Unbekannt";38;44;21;103
"Gesamt";52470;52061;799;105330
