"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1064;991;29;2084
"'10-19";2227;2189;19;4435
"20-29";5104;4744;44;9892
"30-39";4046;3928;52;8026
"40-49";3898;4604;32;8534
"50-59";4813;5291;20;10124
"60-69";2720;2352;5;5077
"70-79";2164;2055;3;4222
"80-89";1568;2527;1;4096
"90-99";254;830;0;1084
"100+";2;14;0;16
"Unbekannt";5;7;18;30
"Gesamt";27865;29532;223;57620
