"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";217;17;8;1;133596;162,43;75;56,14
"LK Altötting";372;43;13;5;111210;334,5;176;158,26
"LK Amberg-Sulzbach";226;21;3;0;103109;219,19;124;120,26
"LK Ansbach";320;22;4;0;183949;173,96;121;65,78
"LK Aschaffenburg";296;21;15;2;174208;169,91;109;62,57
"LK Augsburg";294;7;1;0;251534;116,88;88;34,99
"LK Bad Kissingen";151;6;3;2;103218;146,29;45;43,6
"LK Bad Tölz-Wolfratshausen";317;9;4;0;127227;249,16;105;82,53
"LK Bamberg";323;10;13;0;147086;219,6;106;72,07
"LK Bayreuth";248;31;4;0;103656;239,25;118;113,84
"LK Berchtesgadener Land";188;20;3;0;105722;177,82;78;73,78
"LK Cham";323;11;7;2;127882;252,58;73;57,08
"LK Coburg";95;13;1;0;86906;109,31;36;41,42
"LK Dachau";534;29;5;0;153884;347,01;183;118,92
"LK Deggendorf";173;7;4;0;119326;144,98;36;30,17
"LK Dillingen a.d.Donau";99;3;1;0;96021;103,1;37;38,53
"LK Dingolfing-Landau";144;5;1;0;96217;149,66;46;47,81
"LK Donau-Ries";251;15;10;1;133496;188,02;137;102,62
"LK Ebersberg";310;12;1;0;142142;218,09;84;59,1
"LK Eichstätt";160;8;3;1;132341;120,9;54;40,8
"LK Erding";464;27;5;0;137660;337,06;117;84,99
"LK Erlangen-Höchstadt";158;12;2;0;136271;115,95;63;46,23
"LK Forchheim";154;2;2;0;116099;132,65;42;36,18
"LK Freising";756;8;20;0;179116;422,07;181;101,05
"LK Freyung-Grafenau";117;2;5;0;78355;149,32;24;30,63
"LK Fürstenfeldbruck";594;15;15;0;219320;270,84;183;83,44
"LK Fürth";316;2;22;2;117387;269,2;74;63,04
"LK Garmisch-Partenkirchen";200;7;5;3;88467;226,07;71;80,26
"LK Günzburg";161;0;1;0;125747;128,03;30;23,86
"LK Haßberge";94;5;0;0;84599;111,11;21;24,82
"LK Hof";248;6;6;1;95311;260,2;114;119,61
"LK Kelheim";314;33;16;2;122258;256,83;123;100,61
"LK Kitzingen";77;5;0;0;90909;84,7;37;40,7
"LK Kronach";77;8;0;0;67135;114,69;26;38,73
"LK Kulmbach";125;5;4;0;71845;173,99;45;62,63
"LK Landsberg a.Lech";271;17;6;2;120071;225,7;108;89,95
"LK Landshut";481;24;18;0;158698;303,09;163;102,71
"LK Lichtenfels";141;6;1;0;66838;210,96;49;73,31
"LK Lindau";207;6;4;0;81669;253,46;66;80,81
"LK Main-Spessart";118;1;2;-1;126365;93,38;40;31,65
"LK Miesbach";439;9;4;1;99726;440,21;109;109,3
"LK Miltenberg";182;0;0;0;128756;141,35;48;37,28
