"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";12452;11537;1;540;24530
"'10-19";22259;21897;4;678;44838
"20-29";38274;35640;4;1272;75190
"30-39";32429;30654;8;1170;64261
"40-49";30246;33016;4;1086;64352
"50-59";36407;37172;6;851;74436
"60-69";19164;17823;3;392;37382
"70-79";12891;13872;6;256;27025
"80-89";10099;18274;18;304;28695
"90-99";1943;6712;5;102;8762
"100+";31;135;0;4;170
"Unbekannt";26;27;0;25;78
"Gesamt";216221;226759;59;6680;449719
