"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";555;9;20;0;134655;412,16;44;32,68
"LK Altötting";760;2;57;0;111516;681,52;4;3,59
"LK Amberg-Sulzbach";561;1;54;0;103049;544,4;8;7,76
"LK Ansbach";732;0;28;0;184591;396,55;15;8,13
"LK Aschaffenburg";752;4;42;0;174200;431,69;29;16,65
"LK Augsburg";866;51;11;0;253468;341,66;76;29,98
"LK Bad Kissingen";305;7;18;0;103235;295,44;9;8,72
"LK Bad Tölz-Wolfratshausen";669;3;10;0;127917;523;23;17,98
"LK Bamberg";550;1;38;0;147163;373,74;30;20,39
"LK Bayreuth";464;0;28;0;103664;447,6;7;6,75
"LK Berchtesgadener Land";519;38;25;0;105929;489,95;69;65,14
"LK Cham";576;6;21;0;127998;450,01;48;37,5
"LK Coburg";456;1;30;0;86747;525,67;7;8,07
"LK Dachau";1331;19;35;0;154899;859,27;60;38,73
"LK Deggendorf";517;1;19;0;119478;432,72;37;30,97
"LK Dillingen a.d.Donau";397;2;29;0;96562;411,13;11;11,39
"LK Dingolfing-Landau";1019;2;10;0;96683;1053,96;20;20,69
"LK Donau-Ries";534;11;26;0;133783;399,15;27;20,18
"LK Ebersberg";854;6;6;0;143649;594,5;67;46,64
"LK Eichstätt";449;1;20;0;132881;337,9;12;9,03
"LK Erding";906;23;11;0;138182;655,66;25;18,09
"LK Erlangen-Höchstadt";418;2;11;0;137262;304,53;22;16,03
"LK Forchheim";323;2;4;0;116203;277,96;20;17,21
"LK Freising";1383;13;47;0;180007;768,3;23;12,78
"LK Freyung-Grafenau";276;15;12;0;78362;352,21;26;33,18
"LK Fürstenfeldbruck";1525;21;36;0;219311;695,36;145;66,12
"LK Fürth";644;9;58;0;117853;546,44;35;29,7
"LK Garmisch-Partenkirchen";442;0;20;0;88424;499,86;6;6,79
"LK Günzburg";462;10;4;0;127027;363,7;27;21,26
"LK Haßberge";248;1;6;0;84384;293,89;12;14,22
"LK Hof";563;5;32;0;94801;593,88;10;10,55
"LK Kelheim";694;5;35;0;123058;563,96;17;13,81
"LK Kitzingen";307;3;4;0;91155;336,79;7;7,68
"LK Kronach";198;0;3;0;66743;296,66;10;14,98
"LK Kulmbach";325;1;11;0;71566;454,13;5;6,99
"LK Landsberg a.Lech";518;14;10;0;120302;430,58;31;25,77
