"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";1890;5;34;0;134655;1403,59;244;181,2
"LK Altötting";2048;15;64;0;111516;1836,51;267;239,43
"LK Amberg-Sulzbach";1454;55;64;0;103049;1410,98;205;198,93
"LK Ansbach";2207;0;51;0;184591;1195,62;183;99,14
"LK Aschaffenburg";2393;23;47;0;174200;1373,71;247;141,79
"LK Augsburg";3854;0;28;0;253468;1520,51;496;195,69
"LK Bad Kissingen";796;8;19;0;103235;771,06;111;107,52
"LK Bad Tölz-Wolfratshausen";1807;15;14;0;127917;1412,63;187;146,19
"LK Bamberg";1584;16;51;2;147163;1076,36;148;100,57
"LK Bayreuth";981;0;30;0;103664;946,33;66;63,67
"LK Berchtesgadener Land";1988;18;35;0;105929;1876,73;157;148,21
"LK Cham";1746;15;29;0;127998;1364,08;191;149,22
"LK Coburg";1231;48;37;0;86747;1419,07;239;275,51
"LK Dachau";3185;0;65;0;154899;2056,18;267;172,37
"LK Deggendorf";1480;13;26;0;119478;1238,72;199;166,56
"LK Dillingen a.d.Donau";1315;20;42;0;96562;1361,82;182;188,48
"LK Dingolfing-Landau";1776;14;22;1;96683;1836,93;150;155,15
"LK Donau-Ries";1851;7;36;0;133783;1383,58;173;129,31
"LK Ebersberg";2293;14;19;0;143649;1596,25;277;192,83
"LK Eichstätt";1602;11;30;0;132881;1205,59;257;193,41
"LK Erding";2459;105;18;0;138182;1779,54;379;274,28
"LK Erlangen-Höchstadt";1502;0;22;0;137262;1094,26;189;137,69
"LK Forchheim";1189;17;12;0;116203;1023,21;178;153,18
"LK Freising";3006;28;51;0;180007;1669,94;324;179,99
"LK Freyung-Grafenau";1394;26;26;1;78362;1778,92;215;274,37
"LK Fürstenfeldbruck";3978;36;61;3;219311;1813,86;414;188,77
"LK Fürth";1834;39;76;0;117853;1556,18;190;161,22
"LK Garmisch-Partenkirchen";1101;28;22;0;88424;1245,14;111;125,53
"LK Günzburg";2166;42;30;0;127027;1705,15;243;191,3
