"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5179;0;101;0;134655;3846,13;1;0,74
"LK Altötting";6047;1;210;0;111516;5422,54;4;3,59
"LK Amberg-Sulzbach";4832;0;160;0;103049;4689,03;0;0
"LK Ansbach";8406;0;198;0;184591;4553,85;6;3,25
"LK Aschaffenburg";8018;3;212;0;174200;4602,76;11;6,31
"LK Augsburg";11446;4;227;0;253468;4515,76;16;6,31
"LK Bad Kissingen";3643;0;104;0;103235;3528,84;3;2,91
"LK Bad Tölz-Wolfratshausen";5071;0;79;0;127917;3964,29;3;2,35
"LK Bamberg";5613;0;145;0;147163;3814,14;10;6,8
"LK Bayreuth";4933;0;163;0;103664;4758,64;4;3,86
"LK Berchtesgadener Land";6019;1;102;0;105929;5682,11;8;7,55
"LK Cham";7133;0;182;0;127998;5572,74;3;2,34
"LK Coburg";4889;0;161;0;86747;5635,93;1;1,15
"LK Dachau";8243;2;143;0;154899;5321,53;9;5,81
"LK Deggendorf";6990;0;160;0;119478;5850,45;2;1,67
"LK Dillingen a.d.Donau";3775;1;115;0;96562;3909,41;3;3,11
"LK Dingolfing-Landau";5816;1;98;0;96683;6015,54;4;4,14
"LK Donau-Ries";5994;3;165;0;133783;4480,39;8;5,98
"LK Ebersberg";6365;0;180;0;143649;4430,94;3;2,09
"LK Eichstätt";5073;2;85;0;132881;3817,7;8;6,02
"LK Erding";6970;0;118;0;138182;5044,07;3;2,17
"LK Erlangen-Höchstadt";5417;1;130;0;137262;3946,47;9;6,56
"LK Forchheim";4790;0;113;0;116203;4122,1;6;5,16
"LK Freising";8179;4;130;0;180007;4543,71;12;6,67
"LK Freyung-Grafenau";4914;0;128;0;78362;6270,9;1;1,28
"LK Fürstenfeldbruck";9721;0;140;0;219311;4432,52;2;0,91
"LK Fürth";5366;0;208;0;117853;4553,13;12;10,18
"LK Garmisch-Partenkirchen";3648;0;87;0;88424;4125,58;4;4,52
"LK Günzburg";6963;2;110;0;127027;5481,51;11;8,66
"LK Haßberge";4071;0;87;0;84384;4824,37;1;1,19
"LK Hof";6401;0;157;0;94801;6752,04;2;2,11
"LK Kelheim";5938;0;109;0;123058;4825,37;5;4,06
"LK Kitzingen";3291;1;87;0;91155;3610,33;5;5,49
"LK Kronach";4226;1;96;0;66743;6331,75;2;3
"LK Kulmbach";4087;0;117;0;71566;5710,81;0;0
"LK Landsberg a.Lech";4096;2;71;0;120302;3404,76;2;1,66
"LK Landshut";8016;0;175;0;159895;5013,29;1;0,63
"LK Lichtenfels";3585;1;84;0;66776;5368,7;2;3
"LK Lindau";3449;0;63;0;81981;4207,07;2;2,44
"LK Main-Spessart";4755;1;215;0;126158;3769,08;7;5,55
"LK Miesbach";4586;0;82;0;100010;4585,54;7;7
"LK Miltenberg";5998;0;129;0;128743;4658,89;2;1,55
"LK Mühldorf a.Inn";6970;0;155;0;115872;6015,26;3;2,59
"LK München";15365;2;294;0;350473;4384,08;14;3,99
"LK Neu-Ulm";7760;1;120;0;175204;4429,12;14;7,99
