"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";826;767;8;1601
"'10-19";1510;1655;3;3168
"20-29";4082;3944;14;8040
"30-39";3558;3434;15;7007
"40-49";3430;4091;8;7529
"50-59";4504;5020;9;9533
"60-69";2630;2269;1;4900
"70-79";2112;2025;1;4138
"80-89";1548;2493;1;4042
"90-99";251;821;0;1072
"100+";0;12;0;12
"Unbekannt";2;5;14;21
"Gesamt";24453;26536;74;51063
