"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22372;20721;1;737;43831
"'10-19";35505;34104;5;910;70524
"20-29";56080;51133;4;1484;108701
"30-39";48559;45484;5;1378;95426
"40-49";45375;47647;4;1252;94278
"50-59";52915;51663;6;990;105574
"60-69";26839;25033;2;433;52307
"70-79";16465;17656;2;264;34387
"80-89";11682;20785;12;293;32772
"90-99";2149;7346;2;86;9583
"100+";24;153;0;4;181
"Unbekannt";23;22;0;6;51
"Gesamt";317988;321747;43;7837;647615
