"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";899;841;18;1758
"'10-19";1784;1828;9;3621
"20-29";4517;4292;27;8836
"30-39";3754;3638;23;7415
"40-49";3618;4337;20;7975
"50-59";4630;5147;14;9791
"60-69";2672;2311;2;4985
"70-79";2140;2039;1;4180
"80-89";1559;2508;1;4068
"90-99";252;822;0;1074
"100+";1;16;0;17
"Unbekannt";5;6;17;28
"Gesamt";25831;27785;132;53748
