"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";294;0;20;0;133596;220,07;2;1,5
"LK Altötting";600;0;51;0;111210;539,52;4;3,6
"LK Amberg-Sulzbach";494;0;47;0;103109;479,1;8;7,76
"LK Ansbach";601;1;27;0;183949;326,72;6;3,26
"LK Aschaffenburg";533;0;38;0;174208;305,96;4;2,3
"LK Augsburg";387;0;9;0;251534;153,86;3;1,19
"LK Bad Kissingen";256;1;18;0;103218;248,02;3;2,91
"LK Bad Tölz-Wolfratshausen";423;0;10;0;127227;332,48;4;3,14
"LK Bamberg";413;0;36;0;147086;280,79;2;1,36
"LK Bayreuth";421;0;27;0;103656;406,15;3;2,89
"LK Berchtesgadener Land";304;0;22;0;105722;287,55;2;1,89
"LK Cham";428;0;21;0;127882;334,68;1;0,78
"LK Coburg";319;0;23;0;86906;367,06;35;40,27
"LK Dachau";913;0;27;0;153884;593,3;22;14,3
"LK Deggendorf";323;0;13;0;119326;270,69;9;7,54
"LK Dillingen a.d.Donau";266;0;27;0;96021;277,02;0;0
"LK Dingolfing-Landau";210;0;9;0;96217;218,26;5;5,2
"LK Donau-Ries";353;0;23;0;133496;264,43;6;4,49
"LK Ebersberg";510;0;5;0;142142;358,8;10;7,04
"LK Eichstätt";289;0;17;0;132341;218,38;2;1,51
"LK Erding";615;0;12;0;137660;446,75;4;2,91
"LK Erlangen-Höchstadt";246;0;8;0;136271;180,52;1;0,73
"LK Forchheim";207;0;4;0;116099;178,3;2;1,72
"LK Freising";955;0;42;0;179116;533,17;7;3,91
"LK Freyung-Grafenau";191;0;12;0;78355;243,76;2;2,55
"LK Fürstenfeldbruck";897;0;34;0;219320;408,99;2;0,91
"LK Fürth";494;0;57;0;117387;420,83;1;0,85
"LK Garmisch-Partenkirchen";286;0;18;0;88467;323,28;1;1,13
"LK Günzburg";236;0;4;0;125747;187,68;1;0,8
"LK Haßberge";158;0;6;0;84599;186,76;3;3,55
"LK Hof";426;0;32;0;95311;446,96;3;3,15
"LK Kelheim";443;0;34;0;122258;362,35;1;0,82
"LK Kitzingen";192;1;3;0;90909;211,2;2;2,2
"LK Kronach";161;0;3;0;67135;239,82;4;5,96
"LK Kulmbach";245;0;11;0;71845;341,01;1;1,39
"LK Landsberg a.Lech";364;0;10;0;120071;303,15;0;0
"LK Landshut";669;3;29;0;158698;421,56;10;6,3
"LK Lichtenfels";278;2;12;0;66838;415,93;15;22,44
"LK Lindau";241;0;8;0;81669;295,09;0;0
"LK Main-Spessart";154;3;6;0;126365;121,87;3;2,37
"LK Miesbach";579;0;11;0;99726;580,59;7;7,02
"LK Miltenberg";291;1;5;0;128756;226,01;3;2,33
"LK Mühldorf a.Inn";499;0;27;0;115250;432,97;1;0,87
"LK München";1418;2;71;0;348871;406,45;23;6,59
"LK Neu-Ulm";426;0;25;0;174200;244,55;2;1,15
"LK Neuburg-Schrobenhausen";327;0;14;0;96680;338,23;0;0
"LK Neumarkt i.d.OPf.";372;0;15;0;133561;278,52;5;3,74
"LK Neustadt a.d.Aisch-Bad Windsheim";242;0;6;0;100364;241,12;0;0
"LK Neustadt a.d.Waldnaab";816;0;69;0;94352;864,85;9;9,54
"LK Nürnberger Land";626;0;44;0;170365;367,45;0;0
"LK Oberallgäu";182;0;7;0;155362;117,15;10;6,44
"LK Ostallgäu";503;0;38;0;140316;358,48;1;0,71
"LK Passau";581;0;26;0;192043;302,54;1;0,52
"LK Pfaffenhofen a.d.Ilm";372;0;19;0;127151;292,57;3;2,36
"LK Regen";196;0;11;0;77656;252,4;1;1,29
"LK Regensburg";485;14;15;0;193572;250,55;24;12,4
"LK Rhön-Grabfeld";193;1;6;0;79690;242,19;3;3,76
"LK Rosenheim";2270;1;187;0;260983;869,79;24;9,2
"LK Roth";291;0;7;0;126958;229,21;0;0
"LK Rottal-Inn";734;0;45;0;120659;608,33;0;0
"LK Schwandorf";505;1;18;0;147189;343,1;8;5,44
"LK Schweinfurt";508;0;25;0;115106;441,33;11;9,56
"LK Starnberg";534;6;12;0;136092;392,38;15;11,02
"LK Straubing-Bogen";544;0;28;0;100649;540,49;8;7,95
"LK Tirschenreuth";1133;0;134;0;72504;1562,67;1;1,38
"LK Traunstein";1304;8;87;0;177089;736,35;21;11,86
"LK Unterallgäu";271;0;14;0;144041;188,14;1;0,69
"LK Weilheim-Schongau";353;0;3;0;135348;260,81;0;0
"LK Weißenburg-Gunzenhausen";320;0;24;0;94393;339,01;0;0
"LK Wunsiedel i.Fichtelgebirge";654;0;39;0;73178;893,71;2;2,73
"LK Würzburg";410;0;9;0;161834;253,35;1;0,62
"SK Amberg";82;0;4;0;41970;195,38;2;4,77
"SK Ansbach";138;0;8;0;41847;329,77;0;0
"SK Aschaffenburg";114;0;1;0;70527;161,64;0;0
"SK Augsburg";405;0;14;0;295135;137,23;5;1,69
"SK Bamberg";193;0;19;0;77592;248,74;2;2,58
"SK Bayreuth";209;0;12;0;74657;279,95;1;1,34
"SK Coburg";89;0;1;0;41249;215,76;8;19,39
"SK Erlangen";260;1;11;0;111962;232,22;1;0,89
"SK Fürth";392;0;35;0;127748;306,85;3;2,35
"SK Hof";141;0;4;0;45930;306,99;1;2,18
"SK Ingolstadt";463;0;36;0;136981;338;9;6,57
"SK Kaufbeuren";111;0;5;0;43893;252,89;0;0
"SK Kempten";103;0;10;0;68907;149,48;0;0
"SK Landshut";277;0;10;0;72404;382,58;1;1,38
"SK Memmingen";51;0;0;0;43837;116,34;0;0
"SK München";6620;15;211;0;1471508;449,88;126;8,56
"SK Nürnberg";1051;0;41;0;518365;202,75;9;1,74
"SK Passau";133;0;18;0;52469;253,48;2;3,81
"SK Regensburg";632;2;10;0;152610;414,13;66;43,25
"SK Rosenheim";510;0;24;0;63324;805,38;4;6,32
"SK Schwabach";78;0;2;0;40792;191,21;0;0
"SK Schweinfurt";177;0;18;0;54032;327,58;3;5,55
"SK Straubing";426;0;46;0;47794;891,33;8;16,74
"SK Weiden i.d.OPf.";323;0;20;0;42520;759,64;5;11,76
"SK Würzburg";466;0;50;0;127880;364,4;1;0,78
