"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";953;81;20;0;134655;707,73;242;179,72
"LK Altötting";959;28;57;0;111516;859,97;143;128,23
"LK Amberg-Sulzbach";647;0;55;0;103049;627,86;38;36,88
"LK Ansbach";1097;33;28;0;184591;594,29;209;113,22
"LK Aschaffenburg";1104;23;42;0;174200;633,75;124;71,18
"LK Augsburg";1559;0;13;0;253468;615,07;351;138,48
"LK Bad Kissingen";411;6;18;0;103235;398,12;53;51,34
"LK Bad Tölz-Wolfratshausen";914;28;10;0;127917;714,53;142;111,01
"LK Bamberg";794;0;38;0;147163;539,54;130;88,34
"LK Bayreuth";643;8;28;0;103664;620,27;96;92,61
"LK Berchtesgadener Land";1236;26;28;0;105929;1166,82;278;262,44
"LK Cham";909;54;21;0;127998;710,17;184;143,75
"LK Coburg";592;13;31;0;86747;682,44;75;86,46
"LK Dachau";1687;0;38;0;154899;1089,1;129;83,28
"LK Deggendorf";781;20;20;0;119478;653,68;135;112,99
"LK Dillingen a.d.Donau";600;27;30;0;96562;621,36;131;135,66
"LK Dingolfing-Landau";1199;12;11;0;96683;1240,14;90;93,09
"LK Donau-Ries";905;29;27;0;133783;676,47;197;147,25
"LK Ebersberg";1207;0;8;0;143649;840,24;159;110,69
"LK Eichstätt";694;43;21;0;132881;522,27;129;97,08
"LK Erding";1177;0;11;0;138182;851,78;152;110
"LK Erlangen-Höchstadt";612;0;11;0;137262;445,86;87;63,38
"LK Forchheim";522;25;4;0;116203;449,21;115;98,96
"LK Freising";1806;0;48;0;180007;1003,29;251;139,44
"LK Freyung-Grafenau";429;17;15;1;78362;547,46;98;125,06
"LK Fürstenfeldbruck";2248;17;38;0;219311;1025,03;278;126,76
"LK Fürth";864;0;61;0;117853;733,12;104;88,25
"LK Garmisch-Partenkirchen";590;0;20;0;88424;667,24;89;100,65
"LK Günzburg";767;0;6;0;127027;603,81;117;92,11
"LK Haßberge";417;7;6;0;84384;494,17;78;92,43
"LK Hof";700;5;33;0;94801;738,39;72;75,95
"LK Kelheim";837;11;36;0;123058;680,17;87;70,7
"LK Kitzingen";536;6;4;0;91155;588,01;97;106,41
"LK Kronach";307;8;3;0;66743;459,97;71;106,38
"LK Kulmbach";527;8;11;0;71566;736,38;144;201,21
"LK Landsberg a.Lech";819;19;10;0;120302;680,79;177;147,13
"LK Landshut";1299;24;34;0;159895;812,41;202;126,33
"LK Lichtenfels";614;28;19;0;66776;919,49;137;205,16
"LK Lindau";552;20;8;0;81981;673,33;130;158,57
"LK Main-Spessart";411;5;6;0;126158;325,78;80;63,41
"LK Miesbach";1078;21;11;0;100010;1077,89;160;159,98
"LK Miltenberg";872;18;12;0;128743;677,32;202;156,9
"LK Mühldorf a.Inn";1145;16;27;0;115872;988,16;191;164,84
"LK München";3263;91;96;0;350473;931,03;504;143,81
"LK Neu-Ulm";1317;41;26;0;175204;751,7;206;117,58
"LK Neuburg-Schrobenhausen";782;18;18;0;97303;803,68;149;153,13
"LK Neumarkt i.d.OPf.";848;20;18;0;134573;630,14;146;108,49
"LK Neustadt a.d.Aisch-Bad Windsheim";417;17;6;0;101014;412,81;65;64,35
"LK Neustadt a.d.Waldnaab";1294;16;75;0;94450;1370,04;125;132,35
"LK Nürnberger Land";1100;0;46;0;170792;644,06;103;60,31
"LK Oberallgäu";673;2;8;0;156008;431,39;171;109,61
"LK Ostallgäu";1196;67;40;0;141182;847,13;220;155,83
"LK Passau";1595;56;31;0;192656;827,9;358;185,82
"LK Pfaffenhofen a.d.Ilm";868;0;23;0;128227;676,92;150;116,98
"LK Regen";466;0;12;0;77410;601,99;55;71,05
"LK Regensburg";1095;27;17;0;194070;564,23;165;85,02
"LK Rhön-Grabfeld";437;13;9;0;79635;548,75;67;84,13
"LK Rosenheim";3767;79;206;0;261330;1441,47;567;216,97
"LK Roth";609;8;9;0;126749;480,48;109;86
"LK Rottal-Inn";1712;58;59;1;121502;1409,03;382;314,4
"LK Schwandorf";812;17;21;0;147872;549,12;77;52,07
"LK Schweinfurt";1237;43;28;0;115445;1071,51;221;191,43
"LK Starnberg";1129;17;13;0;136667;826,1;120;87,8
"LK Straubing-Bogen";813;17;29;0;101120;804;72;71,2
"LK Tirschenreuth";1401;7;142;0;72046;1944,59;60;83,28
"LK Traunstein";1970;16;89;0;177319;1110,99;228;128,58
"LK Unterallgäu";964;44;24;0;145341;663,27;241;165,82
"LK Weilheim-Schongau";902;15;4;0;135478;665,79;210;155,01
"LK Weißenburg-Gunzenhausen";638;16;25;0;94734;673,46;94;99,23
"LK Wunsiedel i.Fichtelgebirge";930;12;46;0;72655;1280,02;61;83,96
"LK Würzburg";995;18;7;0;162302;613,05;143;88,11
"SK Amberg";197;0;4;0;42207;466,75;24;56,86
"SK Ansbach";291;12;8;0;41798;696,21;58;138,76
"SK Aschaffenburg";343;17;2;0;71002;483,08;57;80,28
"SK Augsburg";2605;0;18;0;296582;878,34;541;182,41
"SK Bamberg";426;0;22;0;77373;550,58;93;120,2
"SK Bayreuth";481;14;12;0;74783;643,19;97;129,71
"SK Coburg";211;4;4;0;41072;513,73;31;75,48
"SK Erlangen";622;0;12;0;112528;552,75;85;75,54
"SK Fürth";908;2;38;0;128497;706,63;144;112,06
"SK Hof";257;4;5;0;45825;560,83;36;78,56
"SK Ingolstadt";1283;66;41;0;137392;933,82;205;149,21
"SK Kaufbeuren";373;6;12;0;44398;840,13;95;213,97
"SK Kempten";354;4;10;0;69151;511,92;57;82,43
"SK Landshut";612;9;10;0;73411;833,66;84;114,42
"SK Memmingen";328;6;2;0;44100;743,76;62;140,59
"SK München";17146;268;250;2;1484226;1155,21;2039;137,38
"SK Nürnberg";3733;104;59;0;518370;720,14;785;151,44
"SK Passau";403;6;18;0;52803;763,21;80;151,51
"SK Regensburg";1304;34;10;0;153094;851,76;155;101,24
"SK Rosenheim";1086;14;23;0;63551;1708,86;154;242,33
"SK Schwabach";218;7;2;0;40981;531,95;44;107,37
"SK Schweinfurt";528;9;19;0;53426;988,28;113;211,51
"SK Straubing";624;11;48;0;47791;1305,69;50;104,62
"SK Weiden i.d.OPf.";588;4;20;0;42743;1375,66;47;109,96
"SK Würzburg";1195;14;52;0;127934;934,08;158;123,5
