"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";290;0;20;0;133596;217,07;1;0,75
"LK Altötting";596;0;49;1;111210;535,92;4;3,6
"LK Amberg-Sulzbach";481;2;44;0;103109;466,5;11;10,67
"LK Ansbach";592;3;26;0;183949;321,83;14;7,61
"LK Aschaffenburg";522;1;36;0;174208;299,64;15;8,61
"LK Augsburg";379;1;8;0;251534;150,68;7;2,78
"LK Bad Kissingen";251;0;19;0;103218;243,17;9;8,72
"LK Bad Tölz-Wolfratshausen";417;1;10;0;127227;327,76;5;3,93
"LK Bamberg";405;0;35;0;147086;275,35;2;1,36
"LK Bayreuth";415;0;27;0;103656;400,36;1;0,96
"LK Berchtesgadener Land";297;1;22;0;105722;280,93;7;6,62
"LK Cham";417;1;20;0;127882;326,08;3;2,35
"LK Coburg";280;6;16;0;86906;322,19;53;60,99
"LK Dachau";908;0;28;0;153884;590,05;0;0
"LK Deggendorf";307;2;12;0;119326;257,28;14;11,73
"LK Dillingen a.d.Donau";260;1;24;0;96021;270,77;3;3,12
"LK Dingolfing-Landau";205;0;7;1;96217;213,06;5;5,2
"LK Donau-Ries";345;0;23;0;133496;258,43;5;3,75
"LK Ebersberg";498;0;5;0;142142;350,35;19;13,37
"LK Eichstätt";287;4;17;0;132341;216,86;5;3,78
"LK Erding";614;0;11;0;137660;446,03;4;2,91
"LK Erlangen-Höchstadt";242;1;6;0;136271;177,59;34;24,95
"LK Forchheim";204;0;4;0;116099;175,71;2;1,72
"LK Freising";980;2;40;0;179116;547,13;16;8,93
"LK Freyung-Grafenau";189;0;12;1;78355;241,21;2;2,55
"LK Fürstenfeldbruck";882;16;34;0;219320;402,15;10;4,56
"LK Fürth";495;2;56;0;117387;421,68;4;3,41
"LK Garmisch-Partenkirchen";284;0;18;0;88467;321,02;11;12,43
"LK Günzburg";236;1;4;0;125747;187,68;2;1,59
"LK Haßberge";155;0;6;0;84599;183,22;1;1,18
"LK Hof";432;0;30;1;95311;453,25;9;9,44
"LK Kelheim";440;1;34;0;122258;359,89;6;4,91
"LK Kitzingen";189;-1;3;0;90909;207,9;1;1,1
"LK Kronach";157;1;3;0;67135;233,86;6;8,94
"LK Kulmbach";241;0;11;0;71845;335,44;1;1,39
"LK Landsberg a.Lech";361;2;10;0;120071;300,66;10;8,33
"LK Landshut";661;0;29;0;158698;416,51;2;1,26
"LK Lichtenfels";237;2;5;0;66838;354,59;19;28,43
"LK Lindau";241;0;8;0;81669;295,09;1;1,22
"LK Main-Spessart";153;2;6;0;126365;121,08;0;0
"LK Miesbach";567;0;10;1;99726;568,56;14;14,04
"LK Miltenberg";288;0;5;0;128756;223,68;5;3,88
"LK Mühldorf a.Inn";496;0;27;0;115250;430,37;0;0
"LK München";1378;12;66;9;348871;394,99;28;8,03
"LK Neu-Ulm";423;1;25;0;174200;242,82;2;1,15
