"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1579;1451;39;3069
"'10-19";3320;3176;51;6547
"20-29";7049;6454;91;13594
"30-39";5347;5060;61;10468
"40-49";4911;5672;50;10633
"50-59";5842;6133;28;12003
"60-69";3129;2753;12;5894
"70-79";2390;2297;5;4692
"80-89";1659;2677;4;4340
"90-99";267;876;0;1143
"100+";2;17;0;19
"Unbekannt";11;17;4;32
"Gesamt";35506;36583;345;72434
