"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";7552;6959;1;341;14853
"'10-19";14611;14001;0;425;29037
"20-29";24491;22256;2;783;47532
"30-39";19963;18619;2;729;39313
"40-49";18709;20092;3;651;39455
"50-59";22154;22293;3;476;44926
"60-69";11293;10397;3;204;21897
"70-79";7650;8037;0;118;15805
"80-89";5511;9913;1;89;15514
"90-99";1066;3570;0;30;4666
"100+";25;89;0;4;118
"Unbekannt";94;94;0;35;223
"Gesamt";133119;136320;15;3885;273339
