"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";502;0;20;0;133596;375,76;17;12,72
"LK Altötting";753;3;55;0;111210;677,1;10;8,99
"LK Amberg-Sulzbach";545;1;54;0;103109;528,57;8;7,76
"LK Ansbach";698;3;28;0;183949;379,45;13;7,07
"LK Aschaffenburg";704;2;42;0;174208;404,11;16;9,18
"LK Augsburg";739;2;11;0;251534;293,8;31;12,32
"LK Bad Kissingen";293;4;18;0;103218;283,87;4;3,88
"LK Bad Tölz-Wolfratshausen";644;1;10;0;127227;506,18;9;7,07
"LK Bamberg";509;2;37;0;147086;346,06;17;11,56
"LK Bayreuth";453;1;28;0;103656;437,02;3;2,89
"LK Berchtesgadener Land";448;3;25;0;105722;423,75;15;14,19
"LK Cham";510;1;21;0;127882;398,81;4;3,13
"LK Coburg";444;0;30;0;86906;510,9;4;4,6
"LK Dachau";1246;3;34;0;153884;809,7;27;17,55
"LK Deggendorf";462;1;17;0;119326;387,17;7;5,87
"LK Dillingen a.d.Donau";380;0;29;0;96021;395,75;6;6,25
"LK Dingolfing-Landau";970;1;10;0;96217;1008,14;40;41,57
"LK Donau-Ries";495;5;24;0;133496;370,8;29;21,72
"LK Ebersberg";764;9;5;0;142142;537,49;29;20,4
"LK Eichstätt";426;0;20;0;132341;321,9;11;8,31
"LK Erding";860;0;11;0;137660;624,73;8;5,81
"LK Erlangen-Höchstadt";381;2;11;0;136271;279,59;10;7,34
"LK Forchheim";297;1;4;0;116099;255,82;8;6,89
"LK Freising";1326;2;46;0;179116;740,3;37;20,66
"LK Freyung-Grafenau";247;0;12;0;78355;315,23;9;11,49
"LK Fürstenfeldbruck";1314;12;36;0;219320;599,12;62;28,27
"LK Fürth";595;1;58;0;117387;506,87;14;11,93
"LK Garmisch-Partenkirchen";428;3;20;0;88467;483,8;9;10,17
"LK Günzburg";407;0;4;0;125747;323,67;22;17,5
"LK Haßberge";229;2;6;0;84599;270,69;26;30,73
"LK Hof";545;2;32;0;95311;571,81;11;11,54
"LK Kelheim";670;1;35;0;122258;548,02;14;11,45
"LK Kitzingen";293;1;4;0;90909;322,3;13;14,3
"LK Kronach";186;0;3;0;67135;277,05;1;1,49
"LK Kulmbach";317;1;11;0;71845;441,23;9;12,53
"LK Landsberg a.Lech";480;2;10;0;120071;399,76;7;5,83
"LK Landshut";860;2;33;0;158698;541,91;11;6,93
"LK Lichtenfels";371;0;17;0;66838;555,07;6;8,98
"LK Lindau";317;4;8;0;81669;388,15;7;8,57
"LK Main-Spessart";235;0;6;0;126365;185,97;13;10,29
"LK Miesbach";749;1;11;0;99726;751,06;22;22,06
"LK Miltenberg";439;5;6;0;128756;340,95;16;12,43
"LK Mühldorf a.Inn";651;-1;27;0;115250;564,86;11;9,54
"LK München";2078;10;96;0;348871;595,64;94;26,94
"LK Neu-Ulm";793;5;26;0;174200;455,22;35;20,09
"LK Neuburg-Schrobenhausen";429;3;18;0;96680;443,73;7;7,24
"LK Neumarkt i.d.OPf.";561;3;17;0;133561;420,03;15;11,23
"LK Neustadt a.d.Aisch-Bad Windsheim";296;0;6;0;100364;294,93;4;3,99
"LK Neustadt a.d.Waldnaab";903;22;73;0;94352;957,05;28;29,68
"LK Nürnberger Land";788;1;44;0;170365;462,54;17;9,98
"LK Oberallgäu";283;3;7;0;155362;182,16;11;7,08
"LK Ostallgäu";697;0;39;0;140316;496,74;19;13,54
"LK Passau";820;5;31;0;192043;426,99;19;9,89
"LK Pfaffenhofen a.d.Ilm";502;2;21;0;127151;394,81;18;14,16
"LK Regen";243;0;12;0;77656;312,92;7;9,01
"LK Regensburg";732;7;16;0;193572;378,15;44;22,73
"LK Rhön-Grabfeld";283;7;8;0;79690;355,13;32;40,16
"LK Rosenheim";2603;6;199;0;260983;997,38;60;22,99
"LK Roth";368;3;7;0;126958;289,86;12;9,45
"LK Rottal-Inn";877;2;50;0;120659;726,84;17;14,09
"LK Schwandorf";595;4;20;0;147189;404,24;6;4,08
"LK Schweinfurt";661;2;25;0;115106;574,25;18;15,64
"LK Starnberg";783;0;13;0;136092;575,35;13;9,55
"LK Straubing-Bogen";627;0;29;0;100649;622,96;10;9,94
"LK Tirschenreuth";1210;1;139;0;72504;1668,87;20;27,58
"LK Traunstein";1441;0;88;0;177089;813,72;8;4,52
"LK Unterallgäu";452;6;17;0;144041;313,8;13;9,03
"LK Weilheim-Schongau";477;1;3;0;135348;352,42;16;11,82
"LK Weißenburg-Gunzenhausen";453;1;25;0;94393;479,91;4;4,24
"LK Wunsiedel i.Fichtelgebirge";764;5;42;0;73178;1044,03;27;36,9
"LK Würzburg";649;3;7;0;161834;401,03;19;11,74
"SK Amberg";125;1;4;0;41970;297,83;11;26,21
"SK Ansbach";190;0;8;0;41847;454,03;5;11,95
"SK Aschaffenburg";183;2;1;0;70527;259,48;9;12,76
"SK Augsburg";1042;10;16;0;295135;353,06;48;16,26
"SK Bamberg";251;2;22;0;77592;323,49;7;9,02
"SK Bayreuth";267;2;11;0;74657;357,64;11;14,73
"SK Coburg";146;0;4;0;41249;353,95;1;2,42
"SK Erlangen";394;6;12;0;111962;351,91;18;16,08
"SK Fürth";601;4;38;0;127748;470,46;40;31,31
"SK Hof";188;0;5;0;45930;409,32;1;2,18
"SK Ingolstadt";795;3;39;0;136981;580,37;20;14,6
"SK Kaufbeuren";194;0;8;0;43893;441,98;5;11,39
"SK Kempten";185;1;10;0;68907;268,48;1;1,45
"SK Landshut";455;5;9;0;72404;628,42;23;31,77
"SK Memmingen";138;4;0;0;43837;314,8;7;15,97
"SK München";11462;78;225;0;1471508;778,93;544;36,97
"SK Nürnberg";2066;6;53;0;518365;398,56;92;17,75
"SK Passau";224;1;18;0;52469;426,92;6;11,44
"SK Regensburg";917;6;10;0;152610;600,88;22;14,42
"SK Rosenheim";723;4;23;0;63324;1141,75;19;30
"SK Schwabach";122;-1;2;0;40792;299,08;4;9,81
"SK Schweinfurt";239;3;17;0;54032;442,33;12;22,21
"SK Straubing";501;1;48;0;47794;1048,25;8;16,74
"SK Weiden i.d.OPf.";392;2;20;0;42520;921,92;6;14,11
"SK Würzburg";800;7;52;0;127880;625,59;36;28,15
