"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";10117;9375;1;468;19961
"'10-19";19045;18635;2;573;38255
"20-29";32486;30378;6;1138;64008
"30-39";27127;25984;8;1076;54195
"40-49";25284;27948;7;974;54213
"50-59";30304;31431;6;724;62465
"60-69";15985;14910;5;322;31222
"70-79";11013;11867;9;205;23094
"80-89";8693;15993;25;202;24913
"90-99";1710;5976;9;72;7767
"100+";43;146;0;7;196
"Unbekannt";123;134;0;45;302
"Gesamt";181930;192777;78;5806;380591
