"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";9947;9212;1;470;19630
"'10-19";18700;18332;2;571;37605
"20-29";31858;29827;5;1118;62808
"30-39";26571;25484;7;1060;53122
"40-49";24786;27390;7;954;53137
"50-59";29700;30821;6;713;61240
"60-69";15622;14595;6;323;30546
"70-79";10769;11585;9;200;22563
"80-89";8427;15500;25;207;24159
"90-99";1655;5786;9;72;7522
"100+";43;144;0;7;194
"Unbekannt";124;130;0;51;305
"Gesamt";178202;188806;77;5746;372831
