"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";425;0;20;0;133596;318,12;16;11,98
"LK Altötting";678;1;55;0;111210;609,66;21;18,88
"LK Amberg-Sulzbach";506;0;54;0;103109;490,74;7;6,79
"LK Ansbach";621;13;28;0;183949;337,59;9;4,89
"LK Aschaffenburg";609;2;42;0;174208;349,58;13;7,46
"LK Augsburg";514;0;11;0;251534;204,35;25;9,94
"LK Bad Kissingen";274;0;18;0;103218;265,46;3;2,91
"LK Bad Tölz-Wolfratshausen";545;4;10;0;127227;428,37;16;12,58
"LK Bamberg";446;0;36;0;147086;303,22;3;2,04
"LK Bayreuth";437;1;28;0;103656;421,59;3;2,89
"LK Berchtesgadener Land";380;8;25;0;105722;359,43;8;7,57
"LK Cham";451;4;21;0;127882;352,67;12;9,38
"LK Coburg";426;0;29;0;86906;490,18;11;12,66
"LK Dachau";1049;7;32;0;153884;681,68;31;20,15
"LK Deggendorf";379;2;15;0;119326;317,62;24;20,11
"LK Dillingen a.d.Donau";304;2;29;0;96021;316,6;14;14,58
"LK Dingolfing-Landau";842;10;10;0;96217;875,11;19;19,75
"LK Donau-Ries";397;3;23;0;133496;297,39;15;11,24
"LK Ebersberg";600;5;5;0;142142;422,11;51;35,88
"LK Eichstätt";345;3;20;0;132341;260,69;15;11,33
"LK Erding";758;1;11;0;137660;550,63;17;12,35
"LK Erlangen-Höchstadt";316;2;11;0;136271;231,89;7;5,14
"LK Forchheim";239;0;4;0;116099;205,86;3;2,58
"LK Freising";1088;2;46;0;179116;607,43;26;14,52
"LK Freyung-Grafenau";198;0;12;0;78355;252,7;1;1,28
"LK Fürstenfeldbruck";1033;5;36;0;219320;471;30;13,68
"LK Fürth";526;1;58;0;117387;448,09;11;9,37
"LK Garmisch-Partenkirchen";314;0;18;0;88467;354,93;3;3,39
"LK Günzburg";294;1;4;0;125747;233,8;21;16,7
"LK Haßberge";180;0;6;0;84599;212,77;1;1,18
"LK Hof";497;1;32;0;95311;521,45;14;14,69
"LK Kelheim";562;9;35;0;122258;459,68;39;31,9
"LK Kitzingen";212;2;3;0;90909;233,2;10;11
"LK Kronach";177;0;3;0;67135;263,65;2;2,98
"LK Kulmbach";257;1;11;0;71845;357,71;6;8,35
"LK Landsberg a.Lech";402;4;10;0;120071;334,8;20;16,66
"LK Landshut";759;4;31;0;158698;478,27;17;10,71
"LK Lichtenfels";334;0;17;0;66838;499,72;11;16,46
"LK Lindau";266;1;8;0;81669;325,7;4;4,9
"LK Main-Spessart";179;0;6;0;126365;141,65;12;9,5
"LK Miesbach";648;1;11;0;99726;649,78;21;21,06
"LK Miltenberg";348;0;5;0;128756;270,28;7;5,44
"LK Mühldorf a.Inn";555;2;27;0;115250;481,56;21;18,22
"LK München";1633;17;96;0;348871;468,08;63;18,06
