"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Todesfälle insgesamt"
"0-9";0;2;0;0;2
"'10-19";1;0;0;0;1
"20-29";8;4;0;0;12
"30-39";13;8;0;0;21
"40-49";52;22;0;0;74
"50-59";332;123;0;0;455
"60-69";796;350;0;5;1151
"70-79";1992;1181;1;14;3188
"80-89";2984;3297;2;43;6326
"90-99";817;1741;1;27;2586
"100+";6;43;0;0;49
"Unbekannt";0;1;0;0;1
"Gesamt";7001;6772;4;89;13866
