"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";9469;8779;1;432;18681
"'10-19";17848;17385;1;533;35767
"20-29";30224;28158;5;1047;59434
"30-39";25170;24087;5;980;50242
"40-49";23448;25874;6;885;50213
"50-59";28163;29133;5;669;57970
"60-69";14732;13741;7;300;28780
"70-79";10082;10860;8;183;21133
"80-89";7778;14252;24;186;22240
"90-99";1530;5264;5;68;6867
"100+";41;134;0;7;182
"Unbekannt";135;149;0;50;334
"Gesamt";168620;177816;67;5340;351843
