"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";315;313;9;637
"'10-19";735;819;9;1563
"20-29";1796;2006;36;3838
"30-39";1811;1843;32;3686
"40-49";2014;2278;31;4323
"50-59";2631;2745;34;5410
"60-69";1514;1241;21;2776
"70-79";1176;992;11;2179
"80-89";726;995;4;1725
"90-99";88;286;4;378
"100+";4;6;0;10
"Unbekannt";19;18;5;42
"Gesamt";12829;13542;196;26567
