"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";610;579;6;1195
"'10-19";1258;1462;9;2729
"20-29";3424;3484;32;6940
"30-39";3028;3097;19;6144
"40-49";3074;3770;12;6856
"50-59";4199;4723;2;8924
"60-69";2488;2118;5;4611
"70-79";2032;1940;2;3974
"80-89";1502;2376;2;3880
"90-99";242;789;2;1033
"100+";2;16;0;18
"Unbekannt";6;8;0;14
"Gesamt";21865;24362;91;46318
