"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";3053;26;49;0;134655;2267,28;168;124,76
"LK Altötting";3106;11;121;9;111516;2785,25;151;135,41
"LK Amberg-Sulzbach";2488;16;94;0;103049;2414,39;89;86,37
"LK Ansbach";3677;52;84;2;184591;1991,97;198;107,26
"LK Aschaffenburg";4473;55;119;0;174200;2567,74;295;169,35
"LK Augsburg";6639;0;98;0;253468;2619,27;330;130,19
"LK Bad Kissingen";1779;28;60;0;103235;1723,25;137;132,71
"LK Bad Tölz-Wolfratshausen";2829;34;33;0;127917;2211,59;195;152,44
"LK Bamberg";2879;35;80;1;147163;1956,33;202;137,26
"LK Bayreuth";2334;44;58;4;103664;2251,5;277;267,21
"LK Berchtesgadener Land";3214;13;68;0;105929;3034,11;368;347,4
"LK Cham";2851;24;64;1;127998;2227,38;267;208,6
"LK Coburg";2700;44;98;0;86747;3112,5;225;259,37
"LK Dachau";4896;0;82;0;154899;3160,77;175;112,98
"LK Deggendorf";3372;48;69;0;119478;2822,28;329;275,36
"LK Dillingen a.d.Donau";2125;22;88;1;96562;2200,66;149;154,31
"LK Dingolfing-Landau";2788;26;63;0;96683;2883,65;175;181
"LK Donau-Ries";3045;18;78;4;133783;2276,07;256;191,35
"LK Ebersberg";3989;80;71;5;143649;2776,91;299;208,15
"LK Eichstätt";2819;18;50;0;132881;2121,45;191;143,74
"LK Erding";4356;0;45;0;138182;3152,36;179;129,54
"LK Erlangen-Höchstadt";2910;15;82;1;137262;2120,03;143;104,18
"LK Forchheim";2574;59;65;0;116203;2215,09;202;173,83
"LK Freising";4651;19;66;1;180007;2583,79;201;111,66
"LK Freyung-Grafenau";2872;28;75;0;78362;3665,04;187;238,64
"LK Fürstenfeldbruck";6037;56;93;0;219311;2752,71;235;107,15
"LK Fürth";3108;24;117;0;117853;2637,18;192;162,91
"LK Garmisch-Partenkirchen";2019;26;48;1;88424;2283,32;119;134,58
"LK Günzburg";3852;30;75;0;127027;3032,43;164;129,11
"LK Haßberge";2062;42;49;1;84384;2443,59;180;213,31
"LK Hof";2622;21;81;1;94801;2765,79;169;178,27
"LK Kelheim";2648;47;57;0;123058;2151,83;189;153,59
"LK Kitzingen";1556;14;38;1;91155;1706,98;74;81,18
"LK Kronach";1727;43;34;0;66743;2587,54;167;250,21
"LK Kulmbach";1661;30;54;5;71566;2320,93;234;326,97
"LK Landsberg a.Lech";2491;5;33;0;120302;2070,62;107;88,94
"LK Landshut";4269;33;114;0;159895;2669,88;176;110,07
"LK Lichtenfels";1673;25;42;0;66776;2505,39;137;205,16
"LK Lindau";1916;11;38;0;81981;2337,13;110;134,18
"LK Main-Spessart";2730;24;167;1;126158;2163,95;119;94,33
"LK Miesbach";2696;51;28;0;100010;2695,73;218;217,98
"LK Miltenberg";3138;35;63;0;128743;2437,41;265;205,84
"LK Mühldorf a.Inn";3603;32;88;0;115872;3109,47;182;157,07
"LK München";9444;46;148;0;350473;2694,64;407;116,13
"LK Neu-Ulm";4079;18;76;0;175204;2328,14;171;97,6
"LK Neuburg-Schrobenhausen";2344;25;51;1;97303;2408,97;152;156,21
