"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";2069;85;36;0;134655;1536,52;253;187,89
"LK Altötting";2157;67;70;0;111516;1934,25;274;245,7
"LK Amberg-Sulzbach";1519;35;70;1;103049;1474,06;182;176,62
"LK Ansbach";2385;124;57;6;184591;1292,05;239;129,48
"LK Aschaffenburg";2526;56;48;0;174200;1450,06;255;146,38
"LK Augsburg";4243;128;31;3;253468;1673,98;533;210,28
"LK Bad Kissingen";846;31;19;0;103235;819,49;111;107,52
"LK Bad Tölz-Wolfratshausen";1876;33;15;0;127917;1466,58;159;124,3
"LK Bamberg";1642;15;53;2;147163;1115,77;150;101,93
"LK Bayreuth";1043;21;31;1;103664;1006,14;99;95,5
"LK Berchtesgadener Land";2052;27;36;1;105929;1937,15;167;157,65
"LK Cham";1789;27;33;4;127998;1397,68;165;128,91
"LK Coburg";1330;55;43;0;86747;1533,19;259;298,57
"LK Dachau";3316;0;65;0;154899;2140,75;251;162,04
"LK Deggendorf";1532;36;27;0;119478;1282,24;165;138,1
"LK Dillingen a.d.Donau";1378;43;45;2;96562;1427,06;162;167,77
"LK Dingolfing-Landau";1838;35;28;0;96683;1901,06;144;148,94
"LK Donau-Ries";1922;31;38;0;133783;1436,65;167;124,83
"LK Ebersberg";2447;58;26;1;143649;1703,46;308;214,41
"LK Eichstätt";1674;44;31;1;132881;1259,77;234;176,1
"LK Erding";2681;74;22;3;138182;1940,19;373;269,93
"LK Erlangen-Höchstadt";1658;40;25;2;137262;1207,91;277;201,8
"LK Forchheim";1268;21;12;0;116203;1091,19;174;149,74
"LK Freising";3145;36;52;1;180007;1747,15;284;157,77
"LK Freyung-Grafenau";1534;29;29;1;78362;1957,58;265;338,17
"LK Fürstenfeldbruck";4124;47;65;0;219311;1880,43;337;153,66
"LK Fürth";1938;27;83;6;117853;1644,42;180;152,73
"LK Garmisch-Partenkirchen";1158;43;23;1;88424;1309,6;131;148,15
"LK Günzburg";2385;62;34;1;127027;1877,55;300;236,17
"LK Haßberge";1147;30;22;4;84384;1359,26;185;219,24
"LK Hof";1420;39;41;0;94801;1497,87;159;167,72
"LK Kelheim";1654;17;39;0;123058;1344,08;156;126,77
"LK Kitzingen";961;13;8;0;91155;1054,25;82;89,96
"LK Kronach";939;30;17;1;66743;1406,89;110;164,81
"LK Kulmbach";790;25;12;0;71566;1103,88;82;114,58
"LK Landsberg a.Lech";1664;54;16;0;120302;1383,19;195;162,09
"LK Landshut";2573;59;61;8;159895;1609,18;345;215,77
"LK Lichtenfels";1077;25;30;0;66776;1612,85;91;136,28
"LK Lindau";1148;20;12;0;81981;1400,32;101;123,2
