"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";10268;9505;1;478;20252
"'10-19";19247;18865;2;584;38698
"20-29";32874;30729;6;1148;64757
"30-39";27521;26351;8;1084;54964
"40-49";25641;28309;7;983;54940
"50-59";30776;31903;6;726;63411
"60-69";16238;15147;4;328;31717
"70-79";11179;12018;9;215;23421
"80-89";8827;16258;22;221;25328
"90-99";1735;6068;6;79;7888
"100+";43;147;0;7;197
"Unbekannt";121;131;0;44;296
"Gesamt";184470;195431;71;5897;385869
