"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";648;611;3;1262
"'10-19";1302;1495;4;2801
"20-29";3595;3577;19;7191
"30-39";3135;3143;14;6292
"40-49";3121;3832;8;6961
"50-59";4266;4805;2;9073
"60-69";2524;2176;0;4700
"70-79";2062;1969;1;4032
"80-89";1517;2437;1;3955
"90-99";247;804;1;1052
"100+";2;15;0;17
"Unbekannt";8;5;0;13
"Gesamt";22427;24869;53;47349
