"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1616;1486;42;3144
"'10-19";3445;3291;54;6790
"20-29";7204;6610;100;13914
"30-39";5485;5195;64;10744
"40-49";5044;5770;49;10863
"50-59";5968;6235;30;12233
"60-69";3191;2803;13;6007
"70-79";2421;2321;5;4747
"80-89";1681;2700;6;4387
"90-99";269;881;0;1150
"100+";2;17;0;19
"Unbekannt";14;18;6;38
"Gesamt";36340;37327;369;74036
