"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22423;20784;1;722;43930
"'10-19";35620;34226;5;894;70745
"20-29";56298;51309;4;1465;109076
"30-39";48697;45581;5;1366;95649
"40-49";45455;47745;4;1239;94443
"50-59";52973;51729;6;970;105678
"60-69";26869;25065;2;427;52363
"70-79";16474;17670;2;260;34406
"80-89";11690;20792;12;289;32783
"90-99";2151;7349;2;85;9587
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";318694;322422;43;7727;648886
